variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
s5q3_38,5.3.38 Pesticide used_Type 3,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,986,0,0,2017: module s5_agricultural_inputs,,,
s5q3_39,5.3.39 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,276,0,0,2017: module s5_agricultural_inputs,,,
s5q3_40,5.3.40 Used Quantity of  Pesticide used_Type 3,double,,0,276,0,0,2017: module s5_agricultural_inputs,,,
s5q3_41,5.3.41 Purchased Quantity(Kg),double,,0,276,0,0,2017: module s5_agricultural_inputs,,,
s5q3_42,5.3.42 Price of purchased Pesticide_Type 3 (RWF/Kg),int8,,0,202,0,0,2017: module s5_agricultural_inputs,,,
s5q3_43,5.3.43 Source of pesticide used-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,274,0,0,2017: module s5_agricultural_inputs,,,
s5q3_44,5.3.44 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,274,0,0,2017: module s5_agricultural_inputs,,,
s5q4_1_a,5.4.1 Crops planted in season A-Crop 1,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,14931,0,0,2017: module s5_agricultural_inputs,,,
s5q4_2_a,5.4.2 Type of seeds used season A,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,14931,0,0,2017: module s5_agricultural_inputs,,,
s5q4_3_a,5.4.3 Quantity of traditional seeds  sown  ( Kg),double,,0,12828,0,0,2017: module s5_agricultural_inputs,,,
s5q4_4_a,5.4.4 Quantity of traditional seeds bought  ( Kg),double,,0,12828,0,0,2017: module s5_agricultural_inputs,,,
s5q4_5_a,5.4.5 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,6899,0,0,2017: module s5_agricultural_inputs,,,
s5q4_6_a,5.4.6 Quantity of improved seeds sown (Kg),double,,0,2213,0,0,2017: module s5_agricultural_inputs,,,
s5q4_7_a,5.4.7 Quantity of improved seed brought (Kg),double,,0,2211,0,0,2017: module s5_agricultural_inputs,,,
s5q4_8_a,5.4.8 Amount spent to the purchase of seeds (RWF),int32,,0,2075,0,0,2017: module s5_agricultural_inputs,,,
s5q4_9_a,5.4.9 Source of improved seeds used,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2211,0,0,2017: module s5_agricultural_inputs,,,
s5q4_1_b,5.4.1 Crops planted in season A-Crop 2,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,12735,0,0,2017: module s5_agricultural_inputs,,,
s5q4_2_b,5.4.2 Type of seeds used season A,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,12735,0,0,2017: module s5_agricultural_inputs,,,
s5q4_3_b,5.4.3 Quantity of traditional seeds  sown  ( Kg),double,,0,11692,0,0,2017: module s5_agricultural_inputs,,,
s5q4_4_b,5.4.4 Quantity of traditional seeds bought  ( Kg),double,,0,11693,0,0,2017: module s5_agricultural_inputs,,,
s5q4_5_b,5.4.5 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,6166,0,0,2017: module s5_agricultural_inputs,,,
s5q4_6_b,5.4.6 Quantity of improved seeds sown (Kg),double,,0,1093,0,0,2017: module s5_agricultural_inputs,,,
s5q4_7_b,5.4.7 Quantity of improved seed brought (Kg),double,,0,1093,0,0,2017: module s5_agricultural_inputs,,,
s5q4_8_b,5.4.8 Amount spent to the purchase of seeds (RWF),int32,,0,1074,0,0,2017: module s5_agricultural_inputs,,,
s5q4_9_b,5.4.9 Source of improved seeds used,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,1093,0,0,2017: module s5_agricultural_inputs,,,
s5q4_1_c,5.4.1 Crops planted in season A-Crop 3,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,8298,0,0,2017: module s5_agricultural_inputs,,,
s5q4_2_c,5.4.2 Type of seeds used season A,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,8298,0,0,2017: module s5_agricultural_inputs,,,
s5q4_3_c,5.4.3 Quantity of traditional seeds  sown  ( Kg),double,,0,7862,0,0,2017: module s5_agricultural_inputs,,,
s5q4_4_c,5.4.4 Quantity of traditional seeds bought  ( Kg),double,,0,7862,0,0,2017: module s5_agricultural_inputs,,,
s5q4_5_c,5.4.5 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,4132,0,0,2017: module s5_agricultural_inputs,,,
s5q4_6_c,5.4.6 Quantity of improved seeds sown (Kg),double,,0,441,0,0,2017: module s5_agricultural_inputs,,,
s5q4_7_c,5.4.7 Quantity of improved seed brought (Kg),double,,0,441,0,0,2017: module s5_agricultural_inputs,,,
s5q4_8_c,5.4.8 Amount spent to the purchase of seeds (RWF),int32,,0,438,0,0,2017: module s5_agricultural_inputs,,,
s5q4_9_c,5.4.9 Source of improved seeds used,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,441,0,0,2017: module s5_agricultural_inputs,,,
s5q4_10_a,5.4.10 Crops planted in season B-Crop 1,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,15129,0,0,2017: module s5_agricultural_inputs,,,
s5q4_11_a,5.4.11 Type of seeds used season B,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,15129,0,0,2017: module s5_agricultural_inputs,,,
s5q4_12_a,5.4.12 Quantity of traditional seeds  sown  ( Kg),double,,0,14098,0,0,2017: module s5_agricultural_inputs,,,
s5q4_13_a,5.4.13 Quantity of traditional seeds bought  ( Kg),double,,0,14097,0,0,2017: module s5_agricultural_inputs,,,
s5q4_14_a,5.4.14 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,6383,0,0,2017: module s5_agricultural_inputs,,,
s5q4_15_a,5.4.15 Source of improved seeds/seedling,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,978,0,0,2017: module s5_agricultural_inputs,,,
s5q4_16_a,5.4.16 Quantity of improved seeds  sown  ( Kg),double,,0,978,0,0,2017: module s5_agricultural_inputs,,,
s5q4_17_a,5.4.17 Quantity of improved seeds bought  ( Kg),double,,0,978,0,0,2017: module s5_agricultural_inputs,,,
s5q4_18_a,5.4.18 Amount spent for the purchase of improved seeds ( RWF),int32,,0,902,0,0,2017: module s5_agricultural_inputs,,,
s5q4_10_b,5.4.10 Crops planted in season B-Crop 2,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,12202,0,0,2017: module s5_agricultural_inputs,,,
s5q4_11_b,5.4.11 Type of seeds used season B,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,12202,0,0,2017: module s5_agricultural_inputs,,,
s5q4_12_b,5.4.12 Quantity of traditional seeds  sown  ( Kg),double,,0,11494,0,0,2017: module s5_agricultural_inputs,,,
s5q4_13_b,5.4.13 Quantity of traditional seeds bought  ( Kg),double,,0,11494,0,0,2017: module s5_agricultural_inputs,,,
s5q4_14_b,5.4.14 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,4914,0,0,2017: module s5_agricultural_inputs,,,
s5q4_15_b,5.4.15 Source of improved seeds/seedling,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,585,0,0,2017: module s5_agricultural_inputs,,,
s5q4_16_b,5.4.16 Quantity of improved seeds  sown  ( Kg),double,,0,586,0,0,2017: module s5_agricultural_inputs,,,
s5q4_17_b,5.4.17 Quantity of improved seeds bought  ( Kg),double,,0,586,0,0,2017: module s5_agricultural_inputs,,,
s5q4_18_b,5.4.18 Amount spent for the purchase of improved seeds ( RWF),int32,,0,578,0,0,2017: module s5_agricultural_inputs,,,
s5q4_10_c,5.4.10 Crops planted in season B-Crop 3,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,7109,0,0,2017: module s5_agricultural_inputs,,,
s5q4_11_c,5.4.11 Type of seeds used season B,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,7109,0,0,2017: module s5_agricultural_inputs,,,
s5q4_12_c,5.4.12 Quantity of traditional seeds  sown  ( Kg),double,,0,6656,0,0,2017: module s5_agricultural_inputs,,,
s5q4_13_c,5.4.13 Quantity of traditional seeds bought  ( Kg),double,,0,6656,0,0,2017: module s5_agricultural_inputs,,,
s5q4_14_c,5.4.14 Amount spent for the purchase of traditional seeds ( RWF),int32,,0,3118,0,0,2017: module s5_agricultural_inputs,,,
s5q4_15_c,5.4.15 Source of improved seeds/seedling,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,376,0,0,2017: module s5_agricultural_inputs,,,
s5q4_16_c,5.4.16 Quantity of improved seeds  sown  ( Kg),double,,0,3424,0,0,2017: module s5_agricultural_inputs,,,
s5q4_17_c,5.4.17 Quantity of improved seeds bought  ( Kg),double,,0,3424,0,0,2017: module s5_agricultural_inputs,,,
s5q4_18_c,5.4.18 Amount spent for the purchase of improved seeds ( RWF),int32,,0,264,0,0,2017: module s5_agricultural_inputs,,,
dummy_cropping_b,household       engaged in      cropping        in      season  B,int8,,0,16057,0,0,2017: module s6_agricultural_practices,,,
cropping,households who engaged in cropping in one of seasons,int8,,0,16057,0,0,2017: module s6_agricultural_practices,,,
s6q1_1,6.1.1 Did any member of your household practice any type of erosion control meas,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s6_agricultural_practices,,,
s6q1_2_1,6.1.2.1 Soil protection measure-Measure 1,int8,"1=Radical terraces, 2=progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind break/Shelterbelt, 5=Cover plants/grasses …",9,9837,0,0,2017: module s6_agricultural_practices,,,
s6q1_2_2,6.1.2.2 Soil protection measure-Measure 2,int8,"1=Radical terraces, 2=progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind break/Shelterbelt, 5=Cover plants/grasses …",10,5472,0,0,2017: module s6_agricultural_practices,,,
s6q1_2_3,6.1.2.3 Soil protection measure-Measure 3,int8,"1=Radical terraces, 2=progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind break/Shelterbelt, 5=Cover plants/grasses …",10,1027,0,0,2017: module s6_agricultural_practices,,,
s6q1_3,6.1.3 Is soil erosion on any of your household member?s land increasing over tim,int8,"1=Yes, 2=No, 3=Don't know",3,16052,0,0,2017: module s6_agricultural_practices,,,
s6q1_4_1,6.1.4.1 Main form of erosion -Form 1,int8,"1=loss of top soil, 2=change in soil color, 3=reduction of the yield over time, 4=Other, 9=NA",5,8112,0,0,2017: module s6_agricultural_practices,,,
s6q1_4_2,6.1.4.2 Main form of erosion -Form 2,int8,"1=loss of top soil, 2=change in soil color, 3=reduction of the yield over time, 4=Other, 9=NA",5,2204,0,0,2017: module s6_agricultural_practices,,,
s6q1_4_3,6.1.4.3 Main form of erosion -Form 3,int8,"1=loss of top soil, 2=change in soil color, 3=reduction of the yield over time, 4=Other, 9=NA",5,494,0,0,2017: module s6_agricultural_practices,,,
s6q1_5_0,6.1.5.0 Are there any limitation in applying soil protection?,int8,"1=Yes, 2=No",2,16051,0,0,2017: module s6_agricultural_practices,,,
s6q1_5_1,6.1.5.1 Limitations in applying soil protection-Limitation 1,int8,"1=Lack of finance resources, 2=Lack of family labor assigned to this task, 3=Land tenure insecurity, 4=Lack of knowledge, 5=Other limitations",5,3075,0,0,2017: module s6_agricultural_practices,,,
s6q1_5_1_a,6.1.5.1-A-Other Limitation specify-1,string,,0,16057,10666,3724,2017: module s6_agricultural_practices,,,
s6q1_5_2,6.1.5.2 Limitations in applying soil protection-Limitation 2,int8,"1=Lack of finance resources, 2=Lack of family labor assigned to this task, 3=Land tenure insecurity, 4=Lack of knowledge, 5=Other limitations …",6,1123,0,0,2017: module s6_agricultural_practices,,,
s6q1_5_1_b,6.1.5.1-A-Other Limitation specify-2,string,,0,16057,10666,3724,2017: module s6_agricultural_practices,,,
s6q1_5_3,6.1.5.3 Limitations in applying soil protection-Limitation 3,int8,"1=Lack of finance resources, 2=Lack of family labor assigned to this task, 3=Land tenure insecurity, 4=Lack of knowledge, 5=Other limitations …",6,250,0,0,2017: module s6_agricultural_practices,,,
s6q1_5_1_c,6.1.5.1-A-Other Limitation specify-3,string,,0,16057,10666,3724,2017: module s6_agricultural_practices,,,
s6q2_1,6.2.1 Household practice any irrigation technique?,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s6_agricultural_practices,,,
s6q2_2_1,6.2.2.1 Which irrigation technics -Technic 1,int8,"1=Surface irrigation, 2=Flood irrigationÂ (for paddy), 3=Drip irrigation, 4=Sprinkler irrigation, 5=Traditional  technique",5,1495,0,0,2017: module s6_agricultural_practices,,,
s6q2_2_2,6.2.2.2 Which irrigation technics- Technic 2,int8,"1=Surface irrigation, 2=Flood irrigationÂ (for paddy), 3=Drip irrigation, 4=Sprinkler irrigation, 5=Traditional  technique …",6,1495,0,0,2017: module s6_agricultural_practices,,,
s6q2_2_3,6.2.2.3 Which irrigation technics- Technic 3,int8,"1=Surface irrigation, 2=Flood irrigationÂ (for paddy), 3=Drip irrigation, 4=Sprinkler irrigation, 5=Traditional  technique …",6,117,0,0,2017: module s6_agricultural_practices,,,
s6q2_3_1,6.2.3.1 Main source of water used for irrigation-Source 1,int8,"1=rainwater harvesting, 2=water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Valley dam …",7,1495,0,0,2017: module s6_agricultural_practices,,,
s6q2_3_2,6.2.3.2 Main source of water used for irrigation-Source 2,int8,"1=rainwater harvesting, 2=water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Valley dam …",8,1495,0,0,2017: module s6_agricultural_practices,,,
s6q2_3_3,6.2.3.3 Main source of water used for irrigation-Source 3,int8,"1=rainwater harvesting, 2=water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Valley dam …",8,48,0,0,2017: module s6_agricultural_practices,,,
s6q2_4,6.2.4 Use any mechanical equipment,int8,"1=Yes, 2=No",2,16052,0,0,2017: module s6_agricultural_practices,,,
s6q2_5_1,6.2.5.1 Mechanical equipment  used-Tech Equip 1,int8,"1=Oxen, 2=Tractor, 3=Other mechanical equipment",3,23,0,0,2017: module s6_agricultural_practices,,,
s6q2_5_2,6.2.5.1 Mechanical equipment  used-Tech Equip 2,int8,"1=Oxen, 2=Tractor, 3=Other mechanical equipment, 9=NA",4,23,0,0,2017: module s6_agricultural_practices,,,
s6q2_5_3,6.2.5.3 Mechanical equipment  used-Tech Equip 3,int8,"1=Oxen, 2=Tractor, 3=Other mechanical equipment, 9=NA",4,1,0,0,2017: module s6_agricultural_practices,,,
hhsize,Household size (persons in the roster),int8,,0,16057,10666,3724,,,,
head_sex,Sex of household head (s1q2 == 1),int8,"1=Male, 2=Female",2,16057,10666,3724,,,2017: Sex of household head (s1q3 == 1); 2020: Sex of household head (s1q4 == 1),
head_age,Age of household head (s1q2 == 1),int16,,0,16057,10666,3724,,,2017: Age of household head (s1q3 == 1); 2020: Age of household head (s1q4 == 1),
s0q10,0.10 Which Ubudehe category does the household belong in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,10666,0,2020: module section_7_3,s0q10_v2 (2017),,
s0q15,0.15 What is the agricultural activity of the Household?,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",6,0,3717,3304,2020: module section_0; 2024: module section0,s0q15_v2 (2017),2020: 0.15 Relationship of respondent to the Household h,"{""1"": [""Cropping"", ""Spouse""], ""2"": [""Child"", ""Livestock""], ""3"": [""Aquaculture/Pisciculture"", ""Relative""], ""4"": [""Forestry"", ""Parent""], ""5"": [""Apiculture"", ""Housekeeper/Manager""], ""6"": [""Other agriculture activity"", ""Other relationship""]}"
agricactivities_n,Agricultural activities (in numbers) of the Household,int8,,0,0,10666,0,2020: module section_0,,,
s0q16_1,What is the agricultural activity of the Household?(activity1),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,10666,0,2020: module section_7_3,,,
s0q16_2,0.16.2 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,7766,0,2020: module section_0,,,
s0q16_3,0.16.3 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,1124,0,2020: module section_0,,,
s0q16_4,0.16.4 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,63,0,2020: module section_0,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_0,s0q17_v2 (2017),,
s0q18,0.18 What is the other non-agricultural activity which  support your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,10666,0,2020: module section_7_3,s0q18_v2 (2017),,
s0q15_section_2_2,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,3717,0,2020: module section_2_2,,,
s0q16_2_section_2_2,0.16.2 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,7766,0,2020: module section_2_2,,,
s0q16_3_section_2_2,0.16.3 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,1124,0,2020: module section_2_2,,,
s0q16_4_section_2_2,0.16.4 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,63,0,2020: module section_2_2,,,
s0q17_section_2_2,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_2_2,,,
s2q14,2.14 Did any member of your HH grow crops during 2019/2020 agricultural year?,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_2_2,s2q14_v2 (2017),,
crops_grown,Crops (in numbers) grown by the household,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q15_1,2.15.1 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,10297,0,2020: module section_2_2,s2q15_1_v2 (2017),,
s2q15_2,2.15.2 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,9592,0,2020: module section_2_2,s2q15_2_v2 (2017),,
s2q15_3,2.15.3 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,7543,0,2020: module section_2_2,s2q15_3_v2 (2017),,
s2q15_4,2.15.4 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,5433,0,2020: module section_2_2,,,
s2q15_5,2.15.5 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,3801,0,2020: module section_2_2,,,
s2q15_6,2.15.6 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,2647,0,2020: module section_2_2,,,
s2q15_7,2.15.7 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,1775,0,2020: module section_2_2,,,
s2q15_8,2.15.8 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,1140,0,2020: module section_2_2,,,
s2q15_9,2.15.9 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,686,0,2020: module section_2_2,,,
s2q15_10,2.15.10 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,368,0,2020: module section_2_2,,,
nmber_vegs,Vegetables (in numbers) grown by the household,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q15_v_1,2.15.v.1 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,1527,0,2020: module section_2_2,,,
s2q15_v_2,2.15.v.2 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,673,0,2020: module section_2_2,,,
s2q15_v_3,2.15.v.3 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,257,0,2020: module section_2_2,,,
s2q15_v_4,2.15.v.4 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,119,0,2020: module section_2_2,,,
s2q15_v_5,2.15.v.5 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,55,0,2020: module section_2_2,,,
s2q15_v_6,2.15.v.6 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,23,0,2020: module section_2_2,,,
s2q15_v_7,2.15.v.7 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,7,0,2020: module section_2_2,,,
s2q15_v_8,2.15.v.8 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,4,0,2020: module section_2_2,,,
s2q15_v_9,2.15.v.9 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,3,0,2020: module section_2_2,,,
s2q15_v_10,2.15.v.10 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,2,0,2020: module section_2_2,,,
s2q16,2.16 Have your household stored your crops after harvest?,int8,"1=Yes for 1 month or less, 2=Yes for 1 to 2 months, 3=Yes for 2 to 3 months, 4=Above 3 months, 5=No",5,0,10294,0,2020: module section_2_2,,,
crops_stored,Crops (in numbers) stored by the household,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q17_1,2.17.1 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,6464,0,2020: module section_2_2,,,
s2q17_2,2.17.2 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,3768,0,2020: module section_2_2,,,
s2q17_3,2.17.3 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,1280,0,2020: module section_2_2,,,
s2q17_4,2.17.4 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,342,0,2020: module section_2_2,,,
s2q17_5,2.17.5 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,79,0,2020: module section_2_2,,,
s2q17_6,2.17.6 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,14,0,2020: module section_2_2,,,
s2q17_7,2.17.7 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,2,0,2020: module section_2_2,,,
s2q18,2.18 Where did you store you crop produces?,int8,"1=Own storage, 2=Public storage, 3=Cooperatives/private companies Storage, 4=Cold rooms",4,0,6465,0,2020: module section_2_2,,,
s2q19,2.19 Any member of your HH used improved seeds during 2019/2020 agric. year?,int8,"1=Yes, 2=No",2,0,10297,0,2020: module section_2_2,,,
crops_improved,Crops (in numbers) on which improved seeds have been used,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q20_1,2.20.1 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,4543,0,2020: module section_2_2,,,
s2q20_2,2.20.2 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,480,0,2020: module section_2_2,,,
s2q20_3,2.20.3 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,52,0,2020: module section_2_2,,,
s2q20_4,2.20.4 On which crops that improved seeds have been used ?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,5,0,2020: module section_2_2,,,
hh_members,HH members (in numbers) who used improved seeds,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q21_1,2.21.1 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,4276,0,2020: module section_2_2,,,
s2q21_2,2.21.2 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2663,0,2020: module section_2_2,,,
s2q21_3,2.21.3 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,202,0,2020: module section_2_2,,,
s2q21_4,2.21.4 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,57,0,2020: module section_2_2,,,
s2q21_5,2.21.5 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,14,0,2020: module section_2_2,,,
s2q21_6,2.21.6 Household member who used improved seed,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,3,0,2020: module section_2_2,,,
s2q22,2.22 Any member of your HH used organic fertilizers in 2019/2020 agric. year,int8,"1=Yes, 2=No",2,0,10297,0,2020: module section_2_2,,,
s2q23,2.23 Any member of your HH used inorganic fertilizers in 2019/2020 agric. year,int8,"1=Yes, 2=No",2,0,10297,0,2020: module section_2_2,,,
hh_members2,HH members (in numbers) who used inorganic fertilizers,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q24_1,2.24.1 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,4276,0,2020: module section_2_2,,,
s2q24_2,2.24.2 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2663,0,2020: module section_2_2,,,
