variable,label,type,value_labels,n_value_labels,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s7b1q12,"Given land outside household gift, inheritance, dowry or otherwise over the last",int8,"1=Yes, 2=No",2,1411,0,EICV5_VUP: module s7b1_land_agriculture,,,
s9cq1,Household category in Ubudehe VUP_,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 8=Don?t know",5,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq2,Household ever received any income /Loan  from VUP,int8,"1=Yes in the past  but not now, 2=Currently VUP beneficiary, 3=Currently Eligible but not yet benefiting, 4=No, never",4,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4a,Specify the VUP programmes that your HH benefitted  in year 2008,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4b,Specify the VUP programmes that your HH benefitted  in year 2009,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4c,Specify the VUP programmes that your HH benefitted  in year 2010,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4d,Specify the VUP programmes that your HH benefitted  in year 2011,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4e,Specify the VUP programmes that your HH benefitted  in year 2012,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4f,Specify the VUP programmes that your HH benefitted  in year 2013,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4g,Specify the VUP programmes that your HH benefitted  in year 2014,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4h,Specify the VUP programmes that your HH benefitted  in year 2015,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4i,Specify the VUP programmes that your HH benefitted  in year 2016,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,128,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq4j,Specify the VUP programmes that your HH benefitted  in year 2017,int8,"1=Direct Support only, 2=Public Works only, 3=Financial services only, 4=DS and FS services, 5=Expanded PW …",8,87,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq00,ID No. of HH members that participated in PW activities during the last 12 month,int8,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq14a,Period household involved in public worksMonth_,int8,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq14b,Period household involved in public worksYear_,int16,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq15,Average hours per day worked for last participation in Public Works?,int8,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq16,Daily wage last participation in Public Works,int16,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq17,Days worked during the last 3 months,int8,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq18,Type of work during last participation in Public Works,int8,"1=Terracing, 2=Digging ditches, 3=Building roads, 4=Water supply works, 5=Construction/repair of health Center, Market, school …",6,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq19,Time  spend for  commuting to and from the worksite each day,int16,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq20,Amount of money normally spend related to VUP PW per day,int16,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq21,Months household participateed in Public Works over the last 12 months,int8,,0,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq22,Payment received for all the work performed during the last 12 months,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq23,Public Works payments usually delayed or paid on time?,int8,"1=On time every two weeks, 2=Delayed between one to two weeks, 3=Delayed more than two weeks, 4=On time every month, 5=Delayed after month",5,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq24,How do you usually receive your Public Works payment,int8,"1=SACCO, 2=MFI, 3=Cash, 4=Other specify",4,124,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq25a,Last Public Works payment received_Month,int8,,0,124,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq25b,Last Public Works payment received_year,int16,,0,124,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq26,Amount household received in the last Public Works payment,int32,,0,124,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq27,The total Public Works payment over the last 12 months,int32,,0,124,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9c3q99,More PW for other HH member,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq28,Has your HH ever benefited from VUP asset grant?,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29a,Use your public works payment:- to buy food,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29b,Use your public works payment:- Clothes,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29c,Use your public works payment:- to buy home utensils,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29d,Use your public works payment:- Durable asset,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29e,Use your public works payment:- Education,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29f,Use your public works payment:- Health/medical,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29g,Use your public works payment:- to buy animals,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29h,Use your public works payment:- Farm,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29i,Use your public works payment:- Business or income generating activity,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29j,Use your public works payment:- Improve house,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29k,Use your public works payment:- Saving,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s9cq29l,Use your public works payment:- Other specify_,int8,"1=Yes, 2=No",2,128,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s0qb_s9c_vup_ubudehe_and_rssp_sc,UBEDEHE category,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Not found on list",5,1642,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq3,Many months have you been on the eligibility list and waiting to benefit from VU,int8,,0,8,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq5,Why is your household no longer benefit from the VUP program?,int8,"1=Moved to a higher Ubudehe category, 2=We did not participate in training, 3=We are supported by other organizations/programs, 4=We found other sources of income, 5=The daily wages are too low [PW only] …",13,742,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq6,How do you usually receive your Direct Support payment?,int8,"1=Umurenge SACCO, 2=Other MFI, 3=Other, specify",3,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq7,Period when received your direct support payments,int8,"1=Yes every month, 2=No, between one and 30 days late, 3=No, more than 30 days late",3,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq8,Average amount household received at the last Direct Support payment,int32,,0,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq9,What you usually receive?,int8,"1=It is more, 2=It is the same, 3=It is less",3,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq10,Average amount  informed to get in every month from VUP Ds?,int32,8=Don't know,1,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq11,Direct Support payments received over the past 12 months,int8,,0,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq12,Why have you not received 12 payments?,int8,"1=New beneficiary, 2=Payment was delayed, 3=Other, Specify",3,262,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13a,Invest your direct support benefits in some assets:- to buy food,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13b,Invest your direct support benefits in some assets:- Clothes,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13c,Invest your direct support benefits in some assets:- to buy home utensils,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13d,Invest your direct support benefits in some assets:- Durable asset,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13e,Invest your direct support benefits in some assets:- Education,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13f,Invest your direct support benefits in some assets:- Health/medical,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13g,Invest your direct support benefits in some assets:- to buy animals,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13h,Invest your direct support benefits in some assets:- Farm,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13i,Invest your direct support benefits in some assets:- Business or income generati,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13j,Invest your direct support benefits in some assets:- Improve house,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13k,Invest your direct support benefits in some assets:- Saving,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9cq13l,Invest your direct support benefits in some assets:- Other specify_,int8,"1=Yes, 2=No",2,334,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q45,Rural sector support project _RSSP_,int8,"1=yes, 2=No",2,1642,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46a,Forming cooperatives to carry out profit earning projects,int8,"1=Yes, 2=No",2,45,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46b,Access to credit subsidized by RIF,int8,"1=Yes, 2=No",2,45,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46c,Training,int8,"1=Yes, 2=No",2,44,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46d,Swamp or marshland rehabilitation,int8,"1=Yes, 2=No",2,44,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46e,"Construction of markets, crop drying structures and crop barns",int8,"1=Yes, 2=No",2,44,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s9c5q46f,Others _Specify_,int8,"1=Yes, 2=No",2,44,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
hhsize,Household size (persons in the roster),int8,,0,1644,3771,,,,
head_sex,Sex of household head (s1q2 == 1),int8,"1=Male, 2=Female",2,1644,3771,,,,
head_age,Age of household head (s1q2 == 1),int16,,0,1644,3771,,,,
s5aq3,Number of  rooms does your household have for sleeping,int8,,0,0,3771,EICV7_VUP: module s01_s5_s7_household,s5aq3_v2 (EICV5_VUP),,
s5aq4y,Duration household inhabited dwelling (years),int8,,0,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s5aq4m,Duration household inhabited dwelling (months),int8,,0,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s5aq5,Household lived in other dwellings before occupying your current house,int8,"1=Yes, 2=No",2,0,3771,EICV7_VUP: module s01_s5_s7_household,s5aq5_v2 (EICV5_VUP),,
s5aq6,Main reason for moving to current dwelling,int8,"1=Resettlement- policy, 2=Evacuated-disaster, 3=Get a better house, 4=Build/buy own house, 5=Renting cost …",10,0,2820,EICV7_VUP: module s01_s5_s7_household,s5aq6_v2 (EICV5_VUP),,
s5aq7,Owner of the dwelling,int8,"1=Head, 2=Spouse, 3=Spouse with head, 4=Other household member, 5=Relative …",9,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s5aq8,Current occupancy status,int8,"1=Owner occupied, 2=Tenancy (renting), 3=Dwelling provided by employer, 4=Dwelling provided free of charge, 5=Temporary  settlement …",6,0,3771,EICV7_VUP: module s01_s5_s7_household,s5aq8_v2 (EICV5_VUP),,
s5bq1,The current value of your dwelling if you were to sell it,int32,,0,0,3198,EICV7_VUP: module s01_s5_s7_household,s5bq1_v2 (EICV5_VUP),,
s5bq2a,Estimated rent for dwelling,int32,,0,0,3535,EICV7_VUP: module s01_s5_s7_household,,,
s5bq2b,Time period,int8,"1=Month, 2=Quarterly, 3=Annually",3,0,3535,EICV7_VUP: module s01_s5_s7_household,,,
s5bq3a,Actual amount of rent paid in cash,int32,,0,0,236,EICV7_VUP: module s01_s5_s7_household,s5bq3a_v2 (EICV5_VUP),,
s5bq4,Household provide service/payments in kind,int8,"1=Yes, 2=No",2,0,236,EICV7_VUP: module s01_s5_s7_household,,,
s5bq5a,Amount of services/payment in kind,int16,,0,0,20,EICV7_VUP: module s01_s5_s7_household,,,
s5bq5b,Time period,int8,"1=Month, 2=Quarterly, 3=Annually",3,0,20,EICV7_VUP: module s01_s5_s7_household,,,
s5bq6,Do you own a residential house in this village or elsewhere?,int8,"1=Yes, 2=No",2,0,573,EICV7_VUP: module s01_s5_s7_household,,,
s5bq7,In which year did you acquire that house?,int16,,0,0,3229,EICV7_VUP: module s01_s5_s7_household,s5bq7_v2 (EICV5_VUP),,
s5bq8,What was the value of that house when you acquired it?,int32,,0,0,3229,EICV7_VUP: module s01_s5_s7_household,s5bq8_v2 (EICV5_VUP),,
s5bq9,How did you acquire that house?,int8,"1=Bought, 2=Constructed, 3=Inherited from parents, 4=Received as gift, 5=Bartered …",6,0,3229,EICV7_VUP: module s01_s5_s7_household,,,
s5cq2a,Distance in meters between your dwelling and this source?,int16,,0,0,3537,EICV7_VUP: module s01_s5_s7_household,,,
s5cq2b,"Time in minutes it take to go there, to get water and come back?",int16,,0,0,3537,EICV7_VUP: module s01_s5_s7_household,,,
s5cq4b,"Time in minutes it take to go there, to get water and come back",int16,,0,0,3546,EICV7_VUP: module s01_s5_s7_household,,,
s5cq6a,Unused nearest drinking water source to your dwelling?,int8,"1=Piped into Dwelling, 2=Piped into compound, yard/pot, 3=Piped to neighbor HH3, 4=Public tap/standpipe, 5=Tube Well/Borehole …",14,0,667,EICV7_VUP: module s01_s5_s7_household,,,
s5cq6b,Distance in meters between your dwelling and unused nearest drinking water sourc,int16,,0,0,667,EICV7_VUP: module s01_s5_s7_household,,,
s5cq8,In the last 4 weeks has there been anytime when your hh deed not have sufficient,int8,"1=Yes, at least once, 2=No, always sufficient, 3=Don?t know",3,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq8_v2 (EICV5_VUP),,
s5cq12,Amount contribute to maintain the water source during the last month,int16,,0,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq12_v2 (EICV5_VUP),,
s5cq13,Household manage the rainwater,int8,"1=No measures, 2=Rainwater tank from roof, 3=Ditch, 4=Piped away, 5=Other(specify)",5,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq13_v2 (EICV5_VUP),,
s5cq14,Is this HH connected to the grid (electricity from the grid)?,int8,"1=Yes on grid, 2=Yes from solar, 3=Yes both on grid  and from solar, 4=No",4,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq14_v2 (EICV5_VUP),,
s5cq15,Main Reason your household is not connected to the electricity grid,int8,"1=Connection fee is high, 2=Dwelling inappropriate for connection, 3=Application pending, 4=Service  unavailable(No grid line in the area), 5=Administrative procedure is complicated …",7,0,1199,EICV7_VUP: module s01_s5_s7_household,s5cq15_v2 (EICV5_VUP),,
s5cq17,Main Source of electricity that you mostly used in your household,int8,"1=National Grid, 2=Local Mini Grid, 3=Solar energy, 4=Generator (Own, Neighbor, Community), 5=Rechargeable Battery …",7,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq17_v2 (EICV5_VUP),,
s5cq18,Main reason preventing your household to use electricity for lighting,int8,"1=High cost of electricity, 2=Safety concerns, 3=Other, (specify)",3,0,19,EICV7_VUP: module s01_s5_s7_household,s5cq18_v2 (EICV5_VUP),,
s5cq19,Appliances get damaged/electrical system (voltage surges),int8,"1=Yes, 2=No",2,0,1336,EICV7_VUP: module s01_s5_s7_household,s5cq19_v2 (EICV5_VUP),,
s5cq20,Amount your household pay for electricity the last 4 weeks?,int16,,0,0,1336,EICV7_VUP: module s01_s5_s7_household,s5cq20_v2 (EICV5_VUP),,
s5cq20a,Does your household have an internet connection,int8,"1=Yes, 2=No",2,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s5cq20b,What is the main kind of internet connection used by household members?,int8,"1=Landline/Cable Internet, 2=Modem, 3=Mobile phone, 4=Wireless, 5=Other",5,0,554,EICV7_VUP: module s01_s5_s7_household,,,
s5cq20c,What is the main barrier/reason for not accessing internet at home?,int8,"1=Do not need the interne, 2=Use internet from elsewhere, 3=Cost of the serviceis too high, 4=No internet equipment /signals in the area, 5=Privacy/security concerns …",7,0,3217,EICV7_VUP: module s01_s5_s7_household,,,
s5cq21,Type of your primary cook stove,int8,"1=Cooking gas stove, 2=Electric stove, 3=Biogas stove, 4=Solar cooker, 5=Liquid fuel(kerosene) stove …",11,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq21_v2 (EICV5_VUP),,
s5cq22a,Three main sources of cooking fuel you used on this cook stove Most used(Primary,int8,"1=Firewood, 2=Charcoal., 3=Gas, 4=Biogas, 5=Solar power …",14,0,3751,EICV7_VUP: module s01_s5_s7_household,,,
s5cq22b,Three main sources of cooking fuel you used on this cook stove Second most used,int8,"1=Firewood, 2=Charcoal., 3=Gas, 4=Biogas, 5=Solar power …",15,0,3751,EICV7_VUP: module s01_s5_s7_household,,,
s5cq22c,Three main sources of cooking fuel you used on this cook stove Most used(third),int8,"1=Firewood, 2=Charcoal., 3=Gas, 4=Biogas, 5=Solar power …",15,0,2442,EICV7_VUP: module s01_s5_s7_household,,,
s5cq23,Where did you normally cook with the cook stove?,int8,"1=In dwelling, not in  sleeping area, 2=In dwelling, in a sleeping area, 3=In a separate dwelling, 4=In a veranda (roofed platform with at least two open sides), 5=Outdoors …",6,0,3751,EICV7_VUP: module s01_s5_s7_household,s5cq23_v2 (EICV5_VUP),,
s5cq24,How does your household dispose of its rubbish/garbage?,int8,"1=Publicly managed refuse area, 2=Rubbish collection Service, 3=Thrown in the household?s fields or bushes, 4=Dumped in river/lakes/ditches, 5=Burnt …",7,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq24_v2 (EICV5_VUP),,
s5cq25,What type of toilet does your household use?,int8,"1=Flush to piped sewer system, 2=Flush to septic tank, 3=Flush to pit latrine, 4=Ventilated improved pit (VIP) latrine, 5=Pit Latrine with constructed floor slab …",9,0,3771,EICV7_VUP: module s01_s5_s7_household,s5cq25_v2 (EICV5_VUP),,
s5cq26,Is the toilet facility shared with another household?,int8,"1=Yes, 2=No",2,0,3749,EICV7_VUP: module s01_s5_s7_household,s5cq26_v2 (EICV5_VUP),,
s5cq27,"Number of households in total use this toilet facility, including your own house",int8,98=Don?t know,1,0,630,EICV7_VUP: module s01_s5_s7_household,s5cq27_v2 (EICV5_VUP),,
s5cq28,Has your (pit latrine or septic tank) ever been emptied?,int8,"1=Yes emptied, 2=Never emptied, 3=Don?t know",3,0,3749,EICV7_VUP: module s01_s5_s7_household,,,
s5cq29,who removed the content of toilet last time it was empted,int8,"1=Household, 2=Service provider",2,0,649,EICV7_VUP: module s01_s5_s7_household,,,
s5cq30,Where were the contents emptied to?,int8,"1=Treatment plant, 2=Buried in a covered pit, 3=Uncovered pit/open ground/waterbody, 4=Other (specify), 5=Don?t know",5,0,649,EICV7_VUP: module s01_s5_s7_household,,,
s5cq31,faced any problems that resulted from environmental destruction in the previous,int8,"1=Yes, 2=No",2,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s5cq32,main disaster you have experienced with your dwelling,int8,"1=Floods, 2=Mountain slides, 3=Heavy rain, 4=Heavy Wind, 5=Other (specify)",5,0,763,EICV7_VUP: module s01_s5_s7_household,,,
s5cq33,Have you received any environmental information in the last 12 months,int8,"1=Yes, 2=No",2,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s5cq34,main source of information on environmental issues,int8,"1=Radio/TV, 2=Social Media, 3=Meetings/trainings, 4=school, 5=Other (specify)",5,0,3270,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2a,Main problems affecting your household during the last 12 months(1st  severe sho,int8,"1=Heavy Rain, 2=Floods, 3=Landslides and Mudslides, 4=Drought/irregular rains, prolonged dry spell, 5=Unusually high level of crop pests & disease …",18,0,2204,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2b,Main problems affecting your household during the last 12 months(2nd  severe sho,int8,"1=Heavy Rain, 2=Floods, 3=Landslides and Mudslides, 4=Drought/irregular rains, prolonged dry spell, 5=Unusually high level of crop pests & disease …",19,0,2204,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2c,Main problems affecting your household during the last 12 months(3rd  severe sho,int8,"1=Heavy Rain, 2=Floods, 3=Landslides and Mudslides, 4=Drought/irregular rains, prolonged dry spell, 5=Unusually high level of crop pests & disease …",19,0,1097,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2aa_m,Main problems affecting your household during the last 12 months(1st  severe sho,int8,,0,0,272,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2ab_m,Main problems affecting your household during the last 12 months(2nd  severe sho,int8,,0,0,65,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2ac_m,Main problems affecting your household during the last 12 months(3rd  severe sho,int8,,0,0,15,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2aa_y,Main problems affecting your household during the last 12 months(1st  severe sho,int16,,0,0,272,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2ab_y,Main problems affecting your household during the last 12 months(2nd  severe sho,int16,,0,0,65,EICV7_VUP: module s01_s5_s7_household,,,
s5eq2ac_y,Main problems affecting your household during the last 12 months(3rd  severe sho,int16,,0,0,15,EICV7_VUP: module s01_s5_s7_household,,,
s5eq3c,What did the household do to compensate for the consequences of the chock in the,int8,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery), 2=Reduced expenditure on food, 3=Reduced necessary expenditure on health and education, 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car, 5=Used up savings) …",22,0,217,EICV7_VUP: module s01_s5_s7_household,,,
s5eq4a,Number of months did it take your HH to recover from the recent shock and get ba,int8,99=HH not recoverd from the shock,1,0,2204,EICV7_VUP: module s01_s5_s7_household,,,
s5eq4b,Number of months did it take your HH to recover from the recent shock and get ba,int8,99=HH not recoverd from the shock,1,0,1097,EICV7_VUP: module s01_s5_s7_household,,,
s5eq4c,Number of months did it take your HH to recover from the recent shock and get ba,int8,99=HH not recoverd from the shock,1,0,217,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4,"Did any member of your household own and/or raise any livestock, herds, other fa",int8,"1=Yes, 2=No",2,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4a,How many of the following livestock or poultry does the household own - Cattle,int8,,0,0,2200,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4b,How many of the following livestock or poultry does the household own - Goats,int8,,0,0,2200,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4c,How many of the following livestock or poultry does the household own - Sheep,int8,,0,0,2200,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4d,How many of the following livestock or poultry does the household own - Pigs,int8,,0,0,2200,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4e,How many of the following livestock or poultry does the household own - Poultry,int8,,0,0,2200,EICV7_VUP: module s01_s5_s7_household,,,
s7aq4f,How many of the following livestock or poultry does the household own - Other (s,int8,,0,0,2200,EICV7_VUP: module s01_s5_s7_household,,,
s7a2q2,In what year did you receive this animal?,int16,,0,0,888,EICV7_VUP: module s01_s5_s7_household,s7a2q2_v2 (EICV5_VUP),,
s7a2q3,Do you still keep this animal?,int8,"1=Yes, 2=No",2,0,888,EICV7_VUP: module s01_s5_s7_household,s7a2q3_v2 (EICV5_VUP),,
s7a2q4,Household ever receiced animal from NGO or other social protection scheme,int8,"1=Yes, 2=No",2,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
s7a2q5a,Kind of animal 1st,int8,,0,0,852,EICV7_VUP: module s01_s5_s7_household,,,
s7a2q6a,Has the number of animals changed (Cow poor family),int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,0,888,EICV7_VUP: module s01_s5_s7_household,,,
s7a2q6b,Has the number of animals changed (1st animal from NGO),int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,0,852,EICV7_VUP: module s01_s5_s7_household,,,
s7a2q6c,Has the number of animals changed (2nd animal from NGO),int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,0,55,EICV7_VUP: module s01_s5_s7_household,,,
s7a2q7,Household uses a maintained pasture,int8,"1=Yes,maintained, 2=No,not maintained, 3=No, other place",3,0,2599,EICV7_VUP: module s01_s5_s7_household,s7a2q7_v2 (EICV5_VUP),,
quintile,Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,0,0,EICV7_VUP: module s9d4_nsds,,,
s5cq4a,Distance in meters between your dwelling,string,,0,1644,3771,EICV7_VUP: module s01_s5_s7_household,,,
pop_wt,Population Weight,double,,0,0,3771,EICV7_VUP: module s01_s5_s7_household,,,
