variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s0q18m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,246600,0,0,,,,
s0q18y,Year of interview,int16,,0,household (expenditure and own consumption),0,0,0,0,0,0,246600,0,0,,,,
s8bq0_v2,[EICV7_CS..EICV7_VUP version] Items,int16,"1=Dry bean, 2=Fresh bean, 3=String bean, 4=Groundnut flour, 5=Irish potato …",148,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,"s8bq0 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8bq2_v2,[EICV7_CS..EICV7_VUP version] Item ourchased (Visit2),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq3a_v2,[EICV7_CS..EICV7_VUP version] Quantity purchased (Visit2),double,,0,household (consumption by source),0,0,0,0,0,0,0,77522,16677,,,,
s8bq3b_v2,[EICV7_CS..EICV7_VUP version] UNIT of [Item] purchased (Visit2),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,77523,16677,,,,
s8bq4_v2,[EICV7_CS..EICV7_VUP version] Value of [Item] Purchased in LOCAL CURRENCY Amount,int32,,0,household (consumption by source),0,0,0,0,0,0,0,77519,16676,,,,
s8bq5_v2,[EICV7_CS..EICV7_VUP version] Place of Purchase (Visit2),int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (consumption by source),0,0,0,0,0,0,0,77523,16677,,,,
s8bq6_v2,[EICV7_CS..EICV7_VUP version] Household Consumption (Visit2),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq7a_v2,[EICV7_CS..EICV7_VUP version] Total Consumption (Visit2),double,,0,household (consumption by source),0,0,0,0,0,0,0,149113,32554,,,,
s8bq7b_v2,[EICV7_CS..EICV7_VUP version] Total Consumption- UNIT (Visit2),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,149113,32553,,,,
s8bq8_v2,[EICV7_CS..EICV7_VUP version] Total Consumption from purchased (Visit2),double,,0,household (consumption by source),0,0,0,0,0,0,0,149112,32554,,,,
s8bq9_v2,[EICV7_CS..EICV7_VUP version] Consumption from Own Produced (Visit2),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,30481,8122,,,,
s8bq10_v2,[EICV7_CS..EICV7_VUP version] Total Consumption from Own Produced (Visit2),double,,0,household (consumption by source),0,0,0,0,0,0,0,25306,6223,,,,
s8bq10a_v2,[EICV7_CS..EICV7_VUP version] Price from Own Produce (Visit2),int16,,0,household (consumption by source),0,0,0,0,0,0,0,24875,6082,,,,
s8bq11_v2,[EICV7_CS..EICV7_VUP version] Consumption from Gifts and In-kind (Visit2),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,6043,2234,,,,
s8bq12_v2,[EICV7_CS..EICV7_VUP version] Total Consumption from Gifts and In-Kind (Visit2),double,,0,household (consumption by source),0,0,0,0,0,0,0,6032,2228,,,,
s8bq2_v3,[EICV7_CS..EICV7_VUP version] Item ourchased (Visit3),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq3a_v3,[EICV7_CS..EICV7_VUP version] Quantity purchased (Visit3),double,,0,household (consumption by source),0,0,0,0,0,0,0,91241,18880,,,,
s8bq3b_v3,[EICV7_CS..EICV7_VUP version] UNIT of [Item] purchased (Visit3),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,91241,18880,,,,
s8bq4_v3,[EICV7_CS..EICV7_VUP version] Value of [Item] Purchased in LOCAL CURRENCY Amount,int32,,0,household (consumption by source),0,0,0,0,0,0,0,91240,18880,,,,
s8bq5_v3,[EICV7_CS..EICV7_VUP version] Place of Purchase (Visit3),int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (consumption by source),0,0,0,0,0,0,0,91242,18880,,,,
s8bq6_v3,[EICV7_CS..EICV7_VUP version] Household Consumption (Visit3),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq7a_v3,[EICV7_CS..EICV7_VUP version] Total Consumption (Visit3),double,,0,household (consumption by source),0,0,0,0,0,0,0,177407,38159,,,,
s8bq7b_v3,[EICV7_CS..EICV7_VUP version] Total Consumption- UNIT (Visit3),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,177405,38159,,,,
s8bq8_v3,[EICV7_CS..EICV7_VUP version] Total Consumption from purchased (Visit3),double,,0,household (consumption by source),0,0,0,0,0,0,0,177405,38159,,,,
s8bq9_v3,[EICV7_CS..EICV7_VUP version] Consumption from Own Produced (Visit3),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,38835,10489,,,,
s8bq10_v3,[EICV7_CS..EICV7_VUP version] Total Consumption from Own Produced (Visit3),double,,0,household (consumption by source),0,0,0,0,0,0,0,31887,7987,,,,
s8bq10a_v3,[EICV7_CS..EICV7_VUP version] Price from Own Produce (Visit3),int16,,0,household (consumption by source),0,0,0,0,0,0,0,31349,7816,,,,
s8bq11_v3,[EICV7_CS..EICV7_VUP version] Consumption from Gifts and In-kind (Visit3),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,8111,2931,,,,
s8bq12_v3,[EICV7_CS..EICV7_VUP version] Total Consumption from Gifts and In-Kind (Visit3),double,,0,household (consumption by source),0,0,0,0,0,0,0,8092,2923,,,,
s8bq2_v4,[EICV7_CS..EICV7_VUP version] Item ourchased (Visit4),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq3a_v4,[EICV7_CS..EICV7_VUP version] Quantity purchased (Visit4),double,,0,household (consumption by source),0,0,0,0,0,0,0,85620,18071,,,,
s8bq3b_v4,[EICV7_CS..EICV7_VUP version] UNIT of [Item] purchased (Visit4),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,85619,18071,,,,
s8bq4_v4,[EICV7_CS..EICV7_VUP version] Value of [Item] Purchased in LOCAL CURRENCY Amount,int32,,0,household (consumption by source),0,0,0,0,0,0,0,85618,18071,,,,
s8bq5_v4,[EICV7_CS..EICV7_VUP version] Place of Purchase (Visit4),int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (consumption by source),0,0,0,0,0,0,0,85620,18071,,,,
s8bq6_v4,[EICV7_CS..EICV7_VUP version] Household Consumption (Visit4),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq7a_v4,[EICV7_CS..EICV7_VUP version] Total Consumption (Visit4),double,,0,household (consumption by source),0,0,0,0,0,0,0,169731,36970,,,,
s8bq7b_v4,[EICV7_CS..EICV7_VUP version] Total Consumption- UNIT (Visit4),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,169731,36970,,,,
s8bq8_v4,[EICV7_CS..EICV7_VUP version] Total Consumption from purchased (Visit4),double,,0,household (consumption by source),0,0,0,0,0,0,0,169731,36970,,,,
s8bq9_v4,[EICV7_CS..EICV7_VUP version] Consumption from Own Produced (Visit4),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,38471,10287,,,,
s8bq10_v4,[EICV7_CS..EICV7_VUP version] Total Consumption from Own Produced (Visit4),double,,0,household (consumption by source),0,0,0,0,0,0,0,31290,7819,,,,
s8bq10a_v4,[EICV7_CS..EICV7_VUP version] Price from Own Produce (Visit4),int16,,0,household (consumption by source),0,0,0,0,0,0,0,30725,7666,,,,
s8bq11_v4,[EICV7_CS..EICV7_VUP version] Consumption from Gifts and In-kind (Visit4),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,8387,2900,,,,
s8bq12_v4,[EICV7_CS..EICV7_VUP version] Total Consumption from Gifts and In-Kind (Visit4),double,,0,household (consumption by source),0,0,0,0,0,0,0,8366,2893,,,,
s8bq2_v5,[EICV7_CS..EICV7_VUP version] Item ourchased (Visit5),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq3a_v5,[EICV7_CS..EICV7_VUP version] Quantity purchased (Visit5),double,,0,household (consumption by source),0,0,0,0,0,0,0,83891,17868,,,,
s8bq3b_v5,[EICV7_CS..EICV7_VUP version] UNIT of [Item] purchased (Visit5),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,83890,17868,,,,
s8bq4_v5,[EICV7_CS..EICV7_VUP version] Value of [Item] Purchased in LOCAL CURRENCY Amount,int32,,0,household (consumption by source),0,0,0,0,0,0,0,83886,17868,,,,
s8bq5_v5,[EICV7_CS..EICV7_VUP version] Place of Purchase (Visit5),int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (consumption by source),0,0,0,0,0,0,0,83890,17868,,,,
s8bq6_v5,[EICV7_CS..EICV7_VUP version] Household Consumption (Visit5),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,,
s8bq7a_v5,[EICV7_CS..EICV7_VUP version] Total Consumption (Visit5),double,,0,household (consumption by source),0,0,0,0,0,0,0,166906,36239,,,,
s8bq7b_v5,[EICV7_CS..EICV7_VUP version] Total Consumption- UNIT (Visit5),int8,"1=Kg, 2=Littre, 3=Piece, 4=Piece/Package",4,household (consumption by source),0,0,0,0,0,0,0,166905,36239,,,,
s8bq8_v5,[EICV7_CS..EICV7_VUP version] Total Consumption from purchased (Visit5),double,,0,household (consumption by source),0,0,0,0,0,0,0,166906,36239,,,,
s8bq9_v5,[EICV7_CS..EICV7_VUP version] Consumption from Own Produced (Visit5),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,38186,9990,,,,
s8bq10_v5,[EICV7_CS..EICV7_VUP version] Total Consumption from Own Produced (Visit5),double,,0,household (consumption by source),0,0,0,0,0,0,0,30926,7558,,,,
s8bq10a_v5,[EICV7_CS..EICV7_VUP version] Price from Own Produce (Visit5),int16,,0,household (consumption by source),0,0,0,0,0,0,0,30405,7420,,,,
s8bq11_v5,[EICV7_CS..EICV7_VUP version] Consumption from Gifts and In-kind (Visit5),int8,"1=Yes, 2=No",2,household (consumption by source),0,0,0,0,0,0,0,8468,2852,,,,
s8bq12_v5,[EICV7_CS..EICV7_VUP version] Total Consumption from Gifts and In-Kind (Visit5),double,,0,household (consumption by source),0,0,0,0,0,0,0,8448,2844,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,household (consumption by source),0,0,0,0,0,0,0,2227992,558108,,,EICV7_CS: strata_id,
epov_jan,Extreme Poverty,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,household (consumption by source),0,0,0,0,0,0,0,2227992,0,,,,
pov_jan,Poverty Rate,int8,"0=Non Poor, 100=Poor",2,household (consumption by source),0,0,0,0,0,0,0,2227992,0,,,,
quintile_v2,[EICV7_CS..EICV7_CS version] Quintiles of real consumption per ae,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (consumption by source),0,0,0,0,0,0,0,2227992,0,,"quintile (EICV1, EICV3, EICV4_CS, EICV5_CS)",,
