variable,label,type,value_labels,n_value_labels,n_EICV4_VUP,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s3q5,Medical consultation in the over last 4 weeks,int8,"1=Yes,Medical establishment, 2=Yes,Traditional Healer, 3=No, 4=Don't Know, 5=Vaccination …",8,0,1426,15039,,s3q5_v2 (EICV4_VUP),EICV5_VUP: Main reason for medical consultation,"{""1"": [""General visit or preventive"", ""Yes,Medical establishment""], ""2"": [""Sickness"", ""Yes,Traditional Healer""], ""3"": [""Injury"", ""No""], ""4"": [""Don't Know"", ""Sickness and injury""]}"
s3q6_v2,[EICV5_VUP..EICV5_VUP version] Difficulty in seeing,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot see at all",4,0,5841,0,,"s3q6 (EICV4_VUP, EICV7_VUP)",,
s3q7,Difficulty in seeing,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot see at all",4,0,5841,13205,,s3q7_v2 (EICV4_VUP),EICV5_VUP: Difficulty hearing,
s3q8,Difficulty hearing,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot see at all",4,0,5841,13205,,,EICV5_VUP: Difficulty in moving,"{""4"": [""Yes, cannot move at all"", ""Yes, cannot see at all""]}"
s3q9,Difficulty in moving,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot move at all",4,0,5841,13205,,,EICV5_VUP: Difficulty in remembering or concentrating,"{""4"": [""Yes, cannot do  at all"", ""Yes, cannot move at all""]}"
s3q10_v2,[EICV5_VUP..EICV5_VUP version] Difficulty in speaking/ talking _understanding an,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot  do  at all",4,0,5841,0,,s3q10 (EICV7_VUP),,
s3q11_v2,[EICV5_VUP..EICV5_VUP version] Difficulty in self-care _such as: washing all ove,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot do at all",4,0,5841,0,,s3q11 (EICV7_VUP),,
s4aq6c_v2,[EICV5_VUP..EICV5_VUP version] Cause of repeat the 2015 class in 2016,int8,"1=Failed year examinations, 2=Sickness, 3=Financial Problems, 4=Family Problems, 5=Other, specify",5,0,314,0,,s4aq6c (EICV7_VUP),,
s4aq11g,Other schooling expenditures,int32,0=Zero,1,0,1727,0,,s4aq11g_v2 (EICV4_VUP),,
s4aq12,Responsible for payment of majority of school related expenditures,int8,"1=Father, 2=Mother, 3=Both parents, 4=Other household members, 5=Other relatives …",11,0,2102,0,,s4aq12_v2 (EICV4_VUP),,
s4bq1,attended any vocational training,int8,"1=Yes, in a formal establishment, 2=Yes, in an informal establishment, 3=I did not attend any",3,0,5114,11298,,s4bq1_v2 (EICV4_VUP),EICV5_VUP: Did you attended any vocational training,
s4bq2,"Expense of this training including fees, expenses and accommodation",int32,0=Zero,1,0,106,314,,s4bq2_v2 (EICV4_VUP),,
s4bq3,Have you attended a literacy course?,int8,"1=Yes, 2=No",2,0,5114,1715,,s4bq3_v2 (EICV4_VUP),,
s4bq5_v2,[EICV5_VUP..EICV5_VUP version] Able to write a simple note,int8,"1=Yes, 2=No",2,0,3545,0,,"s4bq5 (EICV7_VUP), s4bq5_v3 (EICV4_VUP)",,
s4bq6_v2,[EICV5_VUP..EICV5_VUP version] Able to do a written calculation,int8,"1=Yes, 2=No",2,0,5114,0,,"s4bq6 (EICV7_VUP), s4bq6_v3 (EICV4_VUP)",,
s4bq7_v2,[EICV5_VUP..EICV5_VUP version] Have a mobile telephone,int8,"1=Yes, 2=No",2,0,5114,0,,"s4bq7 (EICV7_VUP), s4bq7_v3 (EICV4_VUP)",,
s4bq7a,Phone has radio and/or internet function?,int8,"1=Yes, radio only, 2=Yes, internet only, 3=Yes, radio and internet, 4=None, 5=Don't know",5,0,1608,0,,,,
s4bq8a,Own a computer,int8,"1=Yes, 2=No",2,0,5114,0,,,,
s4bq8b,Computer literacy,int8,"1=Yes, 2=No, 3=Not literate",3,0,5114,0,,,,
s4bq9a,Copying or moving a file or a folder,int8,"1=Yes, 2=No, 3=Not arround",3,0,326,0,,,,
s4bq9b,Using copy and paste tools to duplicate or move information,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9c,Sending e-mails with attached files,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9d,Using basic arithmetic formulae in a spreadsheet,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9e,Connecting and installing new devices,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9f,"Finding, downloading, installing and configuring software",int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9g,Creating electronic presentations with presentation software,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9h,Transferring files between a computer and other devices,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9i,Writing a computer program using a specialized programming language,int8,"1=Yes, 2=No",2,0,283,0,,,,
s4bq9j,"Using computers, Smart Phones, Tablets.. to retrieve, access, store, produce, pr",int8,"1=Yes, 2=No",2,0,3620,0,,,,
s4bq9k,Use of the internet in the last three months for finding information about goods,int8,"1=Yes, 2=No",2,0,341,0,,,,
s4bq9l,Use of internet in the last three months for reading or downloading online news/,int8,"1=Yes, 2=No",2,0,341,0,,,,
s4bq9m,Use of the internet in the last three months for obtaining information from webs,int8,"1=Yes, 2=No",2,0,341,0,,,,
s4bq9n,Use of the internet in the last three months for seeking health information,int8,"1=Yes, 2=No",2,0,341,0,,,,
s6aq1,ID number of respondent,int8,,0,0,5731,0,,,,
s6aq2,Worked on own farm no payment,int8,"1=Yes, 2=No",2,0,5731,12854,,s6aq2_v2 (EICV4_VUP),,
s6aq3_v2,[EICV5_VUP..EICV5_VUP version] Carry out any agricultural activity,int8,"1=Yes, 2=No",2,0,5731,0,,"s6aq3 (EICV7_VUP), s6aq3_v3 (EICV4_VUP)",,
s6aq9_v2,[EICV5_VUP..EICV5_VUP version] Main reason not working over the last,int8,"1=Unemployed /seeking work, 2=Domestic duties, 3=Student, 4=Retired/old age, 5=Sickness/Health problems/disability …",7,0,2153,0,,s6aq9 (EICV7_VUP),,
s6eq1,"Over last 7 days gather, collect or purchase main fuel for cooking",int8,"1=Yes, 2=No",2,0,5731,0,,s6eq1_v2 (EICV4_VUP),,
s6eq2,"Total minutes for Gathering, collecting or purchasing the main fuel",int16,,0,0,1953,0,,s6eq2_v2 (EICV4_VUP),,
s6eq3,Main fuel and the main cook stove over the last 7 days,int8,"1=Yes, 2=No",2,0,5731,0,,s6eq3_v2 (EICV4_VUP),,
s6eq4,Total minutes for main fuel and main cooking stove  7 days period,int16,,0,0,924,0,,s6eq4_v2 (EICV4_VUP),,
s6eq5,Cooking on the main cook stove over the last 7 days,int8,"1=Yes, 2=No",2,0,5731,0,,s6eq5_v2 (EICV4_VUP),,
s6eq6,Total minutes spent Cooking on the main cook stove,int16,,0,0,2822,0,,s6eq6_v2 (EICV4_VUP),,
eid,ID number of employment,int8,,0,0,3578,0,,,,
s0q18m,Month of interview,int8,,0,0,6596,0,,,,
s0q18y,Year of interview,int16,,0,0,6596,0,,,,
pid_eicv4_panel_for_merge,EICV4 panel person id carried in the EICV5 VUP files,int32,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
province_14,EICV4 Province name,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,5171,0,EICV5_VUP: module panel_for_merge,,,
district_14,EICV4 District name,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,5171,0,EICV5_VUP: module panel_for_merge,,,
urbrur_14,EICV4 Urban/Rural,int8,"1=Urban, 2=Rural",2,0,5171,0,EICV5_VUP: module panel_for_merge,,,
weight_14,EICV4 Household weight,double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
dweight_14,EICV4 Population weight (all individual included),double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
sol_jan_14,EICV4 Aggregate consumption/ae,double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
epov_jan_14,EICV4 Extreme poverty Headcount Ratio,int8,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
pov_jan_14,EICV4 Total Poverty Headcount Ratio,int8,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
quintile_14,EICV4 Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q1_14,EICV4 Sex,int8,"1=Male, 2=Female, 9=Missing",3,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q2_14,EICV4 Relation with the head of household,int8,"1=Household head (HH), 2=Spouse of HH, 3=Son or daughter of HH, 4=Step or adopted or foster child of HH, 5=Father or mother of HH …",13,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q3y_14,EICV4 Age(Years),int8,"998=Don't know, 999=Missing",2,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q3m_14,EICV4 Age(Months),int8,,0,0,666,0,EICV5_VUP: module panel_for_merge,,,
province_17,EICV5 Province name,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,5171,0,EICV5_VUP: module panel_for_merge,,,
district_17,EICV5 District name,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,5171,0,EICV5_VUP: module panel_for_merge,,,
urbrur_17,EICV5 Urban/Rural,int8,"1=Urban, 2=Rural, 3=Peri urban, 4=Semi urban",4,0,5171,0,EICV5_VUP: module panel_for_merge,,,
weight_17,EICV5 Household weight,double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
pop_wt_17,EICV5 Population weight (excluding servants),double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
dweight_17,EICV5 Population weight (all individual included),double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
sol_jan_17,EICV5 Aggregate consumption/ae,double,,0,0,5171,0,EICV5_VUP: module panel_for_merge,,,
epov_jan_17,EICV5 Extreme poverty Headcount Ratio,int8,"0=non-extremely poor, 100=extremly poor",2,0,5171,0,EICV5_VUP: module panel_for_merge,,,
pov_jan_17,EICV5 Total Poverty Headcount Ratio,int8,"0=non-poor, 100=poor",2,0,5171,0,EICV5_VUP: module panel_for_merge,,,
quintile_17,EICV5 Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q1_17,EICV5 Sex,int8,"1=Male, 2=Female, 9=Missing",3,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q2_17,EICV5 Relation with the head of household,int8,"1=Household head (HH), 2=Spouse of HH, 3=Son or daughter of HH, 4=Step or adopted or foster child of HH, 5=Father or mother of HH …",13,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q3y_17,EICV5 Age(Years,int16,"998=Don't know, 999=Missing",2,0,5171,0,EICV5_VUP: module panel_for_merge,,,
s1q3m_17,EICV5 Age(Months),int8,,0,0,298,0,EICV5_VUP: module panel_for_merge,,,
s1q5a,country of birth,int8,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,0,0,15039,,,,
s1q5b,District of birth,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,0,14810,,,,
s1q7a,Absent during past 12 months,int8,"1=Yes, 2=No",2,0,0,15039,,,,
s1q7_v2,[EICV7_VUP..EICV7_VUP version] how many months has been away from this household,int8,,0,0,0,1288,,"s1q7 (EICV4_VUP, EICV5_VUP)",,
s1q9_v2,[EICV7_VUP..EICV7_VUP version] Resident of another household in the last 12 mont,int8,"1=Yes, 2=No",2,0,0,1288,,"s1q9 (EICV4_VUP, EICV5_VUP)",,
s1q10,Will be resident in the household during the period of enumeration,int8,"1=Yes, 2=No, 9=Don't know",3,0,0,15039,,"s1q10_v2 (EICV5_VUP), s1q10_v3 (EICV4_VUP)",,
s1q11_v2,[EICV7_VUP..EICV7_VUP version] primary n reason for absence during enumeration,int8,"1=Studies, 2=Seasonal work, 3=Working away now, 4=Health care, 5=Attend ceremony …",9,0,0,500,,"s1q11 (EICV4_VUP, EICV5_VUP)",,
s1q12_v2,[EICV7_VUP..EICV7_VUP version] Father still alive,int8,"1=Yes,and residing in the household, 2=Yes,but residing in onother household, 3=No, 4=Don't know",4,0,0,6836,,"s1q12 (EICV4_VUP, EICV5_VUP)",,
s1q14_v2,[EICV7_VUP..EICV7_VUP version] Household membership,int8,"1=Yes, 2=No",2,0,0,15039,,"s1q14 (EICV4_VUP, EICV5_VUP)",,
s2q4a,country  lived prior to current place,int8,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,0,0,3054,,,,
s2q4b,District lived prior to current place,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,0,2521,,,,
s3q4,Suffer from an illness or injury over the last 4weeks,int8,"1=Yes, 2=No",2,0,0,15039,,"s3q4_v2 (EICV5_VUP), s3q4_v3 (EICV4_VUP)",,
s3q5a,why not consult any Medical profession,int8,"1=Mild illness, 2=Facility too far, 3=Facilities are costly, 4=No qualified staff present, 5=Facility was closed/destroyed …",9,0,0,1310,,,,
s3q10,Difficulty in remembering or concentrating,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot do  at all",4,0,0,13205,,s3q10_v2 (EICV5_VUP),,
s3q11,Difficulty communicating,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot  do  at all",4,0,0,13205,,s3q11_v2 (EICV5_VUP),,
s3q12,Difficulty in self-care (such as: washing all over or dressing),int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot do at all",4,0,0,13205,,,,
s4aq1a,Main reason of never attended school,int8,"1=Too young, 2=Too expensive, 3=Too far away, 4=Had to work (Home or Job), 5=Poor school quality …",16,0,0,3044,,,,
s4aq2a,years of school  complete successfully at that level?,int8,,0,0,0,11559,,,,
s4aq6c,Class attended in 2024/2025,int8,"0=Not in class, 1=P1, 2=P2, 3=P3, 4=P4 …",14,0,0,1197,,s4aq6c_v2 (EICV5_VUP),,
s4aq6d,Cause of repeat the 2023 class in 2024,int8,"1=Failed year examinations, 2=Sickness, 3=Financial Problems, 4=Family Problems, 5=Other, specify",5,0,0,806,,,,
s4aq8a,Highest class attended in last 12 months,int8,"1=P1, 2=P2, 3=P3, 4=P4, 5=P5 …",12,0,0,4478,,,,
s4aq8b,Boarding School,int8,"1=Yes, 2=No",2,0,0,1053,,,,
s4aq9_v2,[EICV7_VUP..EICV7_VUP version] Age when studying in the Reported class,int8,,0,0,0,4478,,"s4aq9 (EICV4_VUP, EICV5_VUP)",,
s4aq10_v2,[EICV7_VUP..EICV7_VUP version] Reason for delaying start the school?,int8,"1=Too young to start school, 2=Drop out and come back to school, 3=Repetition, 4=Sickness/ Own health/disability, 5=Family member illness/disability …",12,0,0,2967,,"s4aq10 (EICV4_VUP, EICV5_VUP)",,
s4aq11,Type of school,int8,"1=Public, 2=Private, 3=Government subsidized",3,0,0,5596,,,,
s4aq14a,Registration and school fees,int32,0=Zero,1,0,0,5247,,,,
s4aq14b,Parent contributions,int32,0=Zero,1,0,0,5247,,,,
s4aq14c,School uniforms,int32,0=Zero,1,0,0,5247,,,,
s4aq14d,Books and school supplies,int32,0=Zero,1,0,0,5247,,,,
s4aq14e,Transport to and from school,int32,0=Zero,1,0,0,5247,,,,
s4aq14f,Room and board (or board only),int32,0=Zero,1,0,0,5247,,,,
s4aq14g,Other schooling expenditures,int32,0=Zero,1,0,0,5247,,,,
s4aq14h,Total education expenses (non-distributed option),int32,0=Zero,1,0,0,349,,,,
s4aq15_v2,[EICV7_VUP..EICV7_VUP version] Responsible for payment of majority of school rel,int8,"1=Father, 2=Mother, 3=Both parents, 4=Other household members, 5=Other relatives …",11,0,0,5530,,"s4aq15 (EICV4_VUP, EICV5_VUP)",,
s4aq15a,school feeding,int8,"1=Yes, 2=No",2,0,0,4478,,,,
s4aq16_v2,[EICV7_VUP..EICV7_VUP version] Absence at school in last 7 days,int8,"1=Yes, 2=No, 3=In holidays",3,0,0,4478,,"s4aq16 (EICV4_VUP, EICV5_VUP)",,
s4aq17_v2,[EICV7_VUP..EICV7_VUP version] School days not attend last week,int8,,0,0,0,858,,"s4aq17 (EICV4_VUP, EICV5_VUP)",,
s4aq18,Primary cause of not attending school,int8,"1= Dropped out, 2= Poor health, 3= Hunger, 4=Financial Reasons, 5=Family circumstances …",10,0,0,858,,,,
s4aq19,Year of lefting school,int16,,0,0,0,2576,,,,
s4aq20,Reason for leaving school,int8,"1=School Cost, 2=Work, 3=Marriage, 4=Orphaned/Death of parent(s), 5=Excluded …",20,0,0,2685,,,,
s4bq5,Can read proposed a sentence,int8,"1=Can not read at all, 2=Can only read a part of the sentence, 3=Can read a whole sentence, 4=His/her language is not in the proposed languages, 5=Can not read due to disability …",6,0,0,8028,,"s4bq5_v2 (EICV5_VUP), s4bq5_v3 (EICV4_VUP)",,
s4bq6,Able to write a simple note,int8,"1=Yes, 2=No",2,0,0,8028,,"s4bq6_v2 (EICV5_VUP), s4bq6_v3 (EICV4_VUP)",,
s4bq7,Able to do a written calculation,int8,"1=Yes, 2=No",2,0,0,11298,,"s4bq7_v2 (EICV5_VUP), s4bq7_v3 (EICV4_VUP)",,
s4bq9,Phone functionalities. Owned by ...,int8,"1=Yes, radio only, 2=Yes, internet only, 3=Yes, radio and internet, 4=None",4,0,0,4590,,,,
s4bq10,type of phone do you own?,int8,"1=Basic phone, 2=Smart phone, 3=Both type",3,0,0,4590,,,,
s4bq11,reasons for not having a smartphone,int8,"1=No need, 2=Too expensive, 3=Don?t know how to use it",3,0,0,3631,,,,
s4bq12,Why does not have a mobile telephone,int8,"1=No mobile coverage, 2=Can?t afford it, 3=Don?t know how to use it, 4=Stolen, 5=Broken …",7,0,0,6708,,,,
s4bq13a,Own a computer,int8,"1=Yes, 2=No",2,0,0,11298,,,,
s4bq13b,Computer literacy,int8,"1=Yes, 2=No, 3=Not literate",3,0,0,11298,,,,
s4bq13c,How often did use a computer in the last three months?,int8,"1=Never, 2=Every day/Almost every day, 3=At least once a week, 4=At least once a month (Not every week), 5=At least once in three Month (Not every month)",5,0,0,552,,,,
s4bq14a,Copying or moving a file or a folder,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14b,Using copy and paste tools to duplicate or move information,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14c,Sending e-mails with attached files,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14d,Using basic arithmetic formula in a spreadsheet,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14e,Connecting and installing new devices,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14f,"Finding, downloading, installing and configuring software",int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14g,Creating electronic presentations with presentation software,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14h,Transferring files between a computer and other devices,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq14i,Writing a computer program using a specialized programming language,int8,"1=Yes, 2=No",2,0,0,309,,,,
s4bq15,Used of internet in the last 3 months,int8,"1=Yes, 2=No",2,0,0,9568,,,,
s4bq16,Reason for not using internet in the last three months?,int8,"1=No interested, 2=Too expensive, 3=No time/too busy, 4=I don?t know internet, 5=Does not have internet connection …",6,0,0,8520,,,,
s4bq17,How often did use the internet in the last three months?,int8,"1=At least once a day, 2=At least once a week, 3=At least once a month, 4=At least once in three months",4,0,0,1048,,,,
s4bq18,Use of the internet in the last three months for finding information about goods,int8,"1=Yes, 2=No",2,0,0,1048,,,,
s4bq19,Use of internet in the last three months for reading or downloading online news/,int8,"1=Yes, 2=No",2,0,0,1048,,,,
s4bq20,Use of the internet in the last three months for obtaining information from webs,int8,"1=Yes, 2=No",2,0,0,1048,,,,
s4bq21,Use of the internet in the last three months for seeking health information,int8,"1=Yes, 2=No",2,0,0,1048,,,,
s4bq22,Use of internet on social media in the last 3 months,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,1048,,,,
s4bq23a,Use only USSD code  to access E-services or information,int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23b,Use application based system  to access E-services or information,int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23c,Use mobile financial services(MOMO/AIRTEL MONEY/MOCASH/PUSH AND PULL),int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23d," Use any social media (whatsapp or facebook, or instagram or youtube or twitter",int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23e,Access information through web browser,int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23f,Access IREMBO services,int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23g,Use any E-commerce plaforms,int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq23h,Access E-learning platforms,int8,"1=Yes, 2=No",2,0,0,1008,,,,
s4bq25,Use the internet from  in the last 3 months,int8,"1=Home, 2=Workplace, 3=Place of education, 4=Other person?s home person?s home, 5=Community internet access facility …",8,0,0,1008,,,,
s4bq26,Type of device used in accessing social media in the last three months,int8,"1=Mudasobwa(Desktop/Laptop), 2=Simatifone(Smart Phone), 3=Ayipadi/tabureti(iPad/Tablet, 4=Other (Specify)",4,0,0,1008,,,,
s6aq3,products obtained from this agricultural  activity for,int8,"1=Only for sale/barter, 2=Mainly for sale/barter, 3=Mainly for family use, 4=Only for family use",4,0,0,4743,,"s6aq3_v2 (EICV5_VUP), s6aq3_v3 (EICV4_VUP)",,
s6aq4_v2,[EICV7_VUP..EICV7_VUP version] Carry out any agricultural activity,int8,"1=Yes, 2=No",2,0,0,12854,,"s6aq4 (EICV4_VUP, EICV5_VUP)",,
s6aq5_v2,[EICV7_VUP..EICV7_VUP version] Worked for salary or wages in non-farm sector,int8,"1=Yes, 2=No",2,0,0,12854,,"s6aq5 (EICV4_VUP, EICV5_VUP)",,
s6aq6_v2,[EICV7_VUP..EICV7_VUP version] Run a non-farm business for cash or profit,int8,"1=Yes, 2=No",2,0,0,12854,,"s6aq6 (EICV4_VUP, EICV5_VUP)",,
s6aq7,Worked in a non-fam business,int8,"1=Yes, 2=No",2,0,0,12854,,,,
s6aq8_v2,[EICV7_VUP..EICV7_VUP version] work as an unpaid trainee worker or as a voluntee,int8,"1=Yes, 2=No",2,0,0,12854,,"s6aq8 (EICV4_VUP, EICV5_VUP)",,
s6aq9,"any economic activity (job, business or agriculture) from which he/she was tempo",int8,"1=Yes, 2=No",2,0,0,5873,,s6aq9_v2 (EICV5_VUP),,
s6aq10,Main reason not working over the last 7 days,int8,"1=Sick leave due to own illness or injury, 2=Public holidays, vacation or annual leave, 3=Maternity or paternity leave as specified by legislation, 4=Educational leave, 5=Parental leave/ Care for others and other personal absences …",10,0,0,137,,,,
s6aq11,Receiving an income from his/her economic activity during absence?,int8,"1=Yes, 2=No",2,0,0,71,,,,
s6aq12,to work for a period less than 3 months?,int8,"1=Yes, 2=No, 9=Do not know",3,0,0,53,,,,
s6bq1,Hours usually work in the all economic activities over a week,int16,,0,0,0,7093,,,,
s6bq2,Hours  actually work in all economic activities last 7 days,int16,,0,0,0,7093,,,,
s6bq3, ISCO level 1,int8,"1=Managers, 2= Professionals, 3=Technicians and associate professionals, 4=Clerical Support Workers, 5=Service and Sales Workers …",9,0,0,6816,,,,
s6bq4, ISIC level 1,int8,"1=A:Agriculture, Forestry and Fishing, 2=B:Mining and Quarrying, 3=C:Manufacturing, 4=D: Electricity, Gas and Air Conditioning Supply, 5=E: Water Supply,Gas, and Remediation Services …",21,0,0,7093,,,,
s6bq5,What is [NAME]?s institutional sector of the main economic activity?,int8,"1=Public institution/enterprise, 2=Mixed public and private enterprise, 3=Private in non-agriculture activities, 4=Private in agriculture activities, 5=VUP …",9,0,0,7093,,,,
s6bq6,perform this main economic activity overnight from 6pm to 6 am?,int8,"1=Yes, 6-7h pm., 2=Yes, 7-8h pm, 3=Yes, 8pm-6am, 4=No",4,0,0,574,,,,
s6bq7,What is [NAME]?s status in economic activity,int8,"1=Employee, 2=Paid apprentice/Internee, 3=Employer (with regular employees), 4=Own account worker (without regular employees), 5=Member of cooperative …",8,0,0,7093,,,,
s6bq8,Nature of [names]s? economic activity contract?,int8,"1=Permanent worker, 2=Fixed-term contract, 3=Casual worker, 4=Seasonal worker, 5=Daily worker …",6,0,0,2774,,,,
s6bq9a,usually earn in this main job (Amount),int32,,0,0,0,3512,,,,
s6bq9b,usually earn in this main job (Unit),int8,"1=HOUR, 2=DAY, 3=WEEK, 4=FORTNIGHT...4, 5=MONTH. …",7,0,0,3512,,,,
s6cq1,"Over the last 7 days, fetch water for the household?",int8,"1=Yes, 2=No",2,0,0,4640,,,,
s6cq2,Number of hours spend fetching water over the last 7 days,int8,,0,0,0,3425,,,,
s6cq3,"Over the last 7 days,   forage for firewood for the household",int8,"1=Yes, 2=No",2,0,0,4639,,,,
s6cq4,How many hours    spend foraging for wood over the last 7 days,int8,,0,0,0,1961,,,,
s6cq5,"Over the last 7 days, searching for  fodder or grazing for the household?s anima",int8,"1=Yes, 2=No",2,0,0,4639,,,,
s6cq6,How many hours spend  caring for or searching for fodder over the last 7 days?,int8,,0,0,0,1753,,,,
s6cq7,"Over the last 7 days, did go to the market for the household for shopping?",int8,"1=Yes, 2=No",2,0,0,4639,,,,
s6cq8,How many hours did spend going to market for shopping the last 7 days (to and fr,int8,,0,0,0,607,,,,
s6cq9,"Over the last 7 days, did cook for the household?",int8,"1=Yes, 2=No",2,0,0,4639,,,,
s6cq10,How many hours did spend cooking over the last 7 days?,int8,,0,0,0,1821,,,,
s6cq11,"Over the last 7 days, did spend any time on other household chores such as laund",int8,"1=Yes, 2=No",2,0,0,4639,,,,
s6cq12,How many hours did spend on other household chores over the last 7 days?,int8,,0,0,0,2458,,,,
quintile,Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,0,0,15039,EICV7_VUP: module s9d5_financial_services,quintile_v2 (EICV4_VUP),,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,0,0,15039,EICV7_VUP: module s9d5_financial_services,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,0,0,15039,EICV7_VUP: module s9d5_financial_services,poverty_v2 (EICV4_VUP),,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,0,0,15039,EICV7_VUP: module s9d5_financial_services,,,
ed_foodgov,Gvt Contribution to School feeding,int16,,0,0,0,15039,,,,
strata_id,VUP Strata,int8,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,0,0,15039,EICV7_VUP: module s9d5_financial_services,,,
s8cq2_v2,[EICV7_VUP..EICV7_VUP version] Consumed any food away from home Since my last vi,int8,"1=Yes, 2=No",2,0,0,15039,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq4_v2,[EICV7_VUP..EICV7_VUP version] Amount pay for breakfast away from home (Visit2),int16,,0,0,0,306,EICV7_VUP: module s8c_food_away_from_home,,,
