variable,label,type,value_labels,n_value_labels,n_2019_A,n_2019_B,n_2019_C,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
s4q12_2_o,4.12.2 At which stage of agriculture practices have you used other mechanical eq,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q13_v2,"4.13 Amount spent on hired labor used to prepare land, sowing and any other agri",int32,,0,0,0,0,0,0,0,0,0,0,17376,16883,4926,16830,16864,2983,,"s4q13 (2019_A, 2019_B, 2019_C, 2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C)",,
s4q14_v2,4.14 Did you practice irrigation in any of your plots during this agricultural s,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,0,17376,16883,4926,16830,16864,2983,,"s4q14 (2019_A, 2019_B, 2019_C, 2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C)",,
s4q15,4.15 Has this plot been irrigated during this agricultural season?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,0,1717,1503,3115,1933,1809,1925,,"s4q15_v2 (2019_A, 2019_B, 2019_C, 2021_A, 2021_B, 2021_C)",,
s4q17_1,4.17 What is the source of water for irrigation?(source1),int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment (dam) …",6,0,0,0,0,0,0,0,0,0,683,509,2949,708,604,1789,,,,
s4q17_2,4.17 What is the source of water for irrigation?(source2),int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment (dam) …",6,0,0,0,0,0,0,0,0,0,47,37,100,70,44,114,,,,
s4q17_3,4.17 What is the source of water for irrigation?(source3),int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment (dam) …",6,0,0,0,0,0,0,0,0,0,9,3,1,4,3,1,,,,
s4q17_4,4.17 What is the source of water for irrigation?(source4),int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment (dam) …",6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,
s4q17_o,4.17 What is the source of water for irrigation?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q18_1,4.18 What is the irrigation tool have you used?(tool1),int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,0,0,0,683,509,2949,708,604,1789,,,,"{""1"": [""Irrigation machine"", ""Rainwater harvesting""], ""2"": [""Pump"", ""Water treatment plant""], ""3"": [""Tube wells"", ""Underground water""], ""4"": [""Lake/stream water"", ""Water can""], ""5"": [""Water catchment (dam)"", ""Water channels""], ""6"": [""Jerycan/basin"", ""Other source (specify).""]}"
s4q18_2,4.18 What is the irrigation tool have you used?(tool2),int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,0,0,0,111,61,553,146,121,342,,,,"{""1"": [""Irrigation machine"", ""Rainwater harvesting""], ""2"": [""Pump"", ""Water treatment plant""], ""3"": [""Tube wells"", ""Underground water""], ""4"": [""Lake/stream water"", ""Water can""], ""5"": [""Water catchment (dam)"", ""Water channels""], ""6"": [""Jerycan/basin"", ""Other source (specify).""]}"
s4q18_3,4.18 What is the irrigation tool have you used?(tool3),int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,0,0,0,20,14,38,30,26,35,,,,"{""1"": [""Irrigation machine"", ""Rainwater harvesting""], ""2"": [""Pump"", ""Water treatment plant""], ""3"": [""Tube wells"", ""Underground water""], ""4"": [""Lake/stream water"", ""Water can""], ""5"": [""Water catchment (dam)"", ""Water channels""], ""6"": [""Jerycan/basin"", ""Other source (specify).""]}"
s4q18_4,4.18 What is the irrigation tool have you used?(tool4),int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,0,0,0,2,0,1,7,1,0,,,,"{""1"": [""Irrigation machine"", ""Rainwater harvesting""], ""2"": [""Pump"", ""Water treatment plant""], ""3"": [""Tube wells"", ""Underground water""], ""4"": [""Lake/stream water"", ""Water can""], ""5"": [""Water catchment (dam)"", ""Water channels""], ""6"": [""Jerycan/basin"", ""Other source (specify).""]}"
s4q18_o,4.18 What is the irrigation tool have you used?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q19,4.19 What is the cost spent for irrigation activities? (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,683,509,2949,0,604,1789,,,,
s4q7_o,4.7 What do you gain as support from land consolidation program?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q10_2_3,4.10.2 At which stage of agriculture practice have you used animal ploughing??(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,2022_B: 4.10.2 At which stage of agriculture practice have,"{""3"": [""Raking"", ""Sowing""]}"
s2q2_ha,,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,16830,16864,0,,,,
s4q7_o1,4.7 What do you gain as support from land consolidation program?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q18_5,4.18 What is the irrigation tool have you used?(tool5),int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
