variable,label,type,value_labels,n_value_labels,n_2019_A,n_2019_B,n_2019_C,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
s1q16,1.16 Relationship of respondent to the farmer,int8,"1=Spouse, 2=Adopted child, 3=Child, 4=Relative, 5=Parent …",8,0,0,0,0,0,0,0,0,0,0,0,0,4465,0,0,,,,
s1q16_o,1.16 Relationship of respondent to the farmer,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q6_o1,"3.6 If the organic fertilizer used was not sufficient, what is the main reason o",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q10_1,3.10 Type of inorganic fertilizer used,int8,"1=NPK 17-17-17;, 2=NPK 20-10-10;, 3=NPK 25-5-5;, 4=NPK 22-6-12;, 5=Other NPK; …",22,0,0,0,0,0,0,0,0,0,0,0,0,6055,5192,2005,,,,
s3q10_other_1,"3.10 Type of inorganic fertilizer used (other,specify",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q11_1,3.11 Measurement unit,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,6055,5191,2005,,,,
s3q12_1,3.12 Total quantity used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,6055,5191,2005,,,,
s3q13_1,3.13 Quantity purchased and used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,6055,5191,2005,,,,
s3q14_1,3.14 Unit price (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,5764,4917,1987,,,,
s3q15_1,3.15 Main crops to be fertilized?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",96,0,0,0,0,0,0,0,0,0,0,0,0,6055,5192,2005,,,,
s3q10_2,3.10 Type of inorganic fertilizer used,int8,"1=NPK 17-17-17;, 2=NPK 20-10-10;, 3=NPK 25-5-5;, 4=NPK 22-6-12;, 5=Other NPK; …",22,0,0,0,0,0,0,0,0,0,0,0,0,3515,2318,901,,,,
s3q10_other_2,"3.10 Type of inorganic fertilizer used (other,specify",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q11_2,3.11 Measurement unit,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,3515,2317,901,,,,
s3q12_2,3.12 Total quantity used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,3515,2317,901,,,,
s3q13_2,3.13 Quantity purchased and used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,3515,2317,901,,,,
s3q14_2,3.14 Unit price (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,3347,2285,891,,,,
s3q15_2,3.15 Main crops to be fertilized?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",96,0,0,0,0,0,0,0,0,0,0,0,0,3515,2318,901,,,,
s3q10_3,3.10 Type of inorganic fertilizer used,int8,"1=NPK 17-17-17;, 2=NPK 20-10-10;, 3=NPK 25-5-5;, 4=NPK 22-6-12;, 5=Other NPK; …",22,0,0,0,0,0,0,0,0,0,0,0,0,220,234,199,,,,
s3q10_other_3,"3.10 Type of inorganic fertilizer used (other,specify",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q11_3,3.11 Measurement unit,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,220,232,199,,,,
s3q12_3,3.12 Total quantity used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,220,232,199,,,,
s3q13_3,3.13 Quantity purchased and used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,220,232,199,,,,
s3q14_3,3.14 Unit price (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,210,228,199,,,,
s3q15_3,3.15 Main crops to be fertilized?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",96,0,0,0,0,0,0,0,0,0,0,0,0,220,234,199,,,,
s3q10_4,3.10 Type of inorganic fertilizer used,int8,"1=NPK 17-17-17;, 2=NPK 20-10-10;, 3=NPK 25-5-5;, 4=NPK 22-6-12;, 5=Other NPK; …",22,0,0,0,0,0,0,0,0,0,0,0,0,26,28,32,,,,
s3q10_other_4,"3.10 Type of inorganic fertilizer used (other,specify",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q11_4,3.11 Measurement unit,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,26,27,32,,,,
s3q12_4,3.12 Total quantity used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,32,,,,
s3q13_4,3.13 Quantity purchased and used in this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,32,,,,
s3q14_4,3.14 Unit price (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,32,,,,
s3q15_4,3.15 Main crops to be fertilized?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",96,0,0,0,0,0,0,0,0,0,0,0,0,26,28,32,,,,
s3q20_1,3.20     Pesticide type,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate (DUDU), 4=Cypermethrin, 5=Dursiban …",54,0,0,0,0,0,0,0,0,0,0,0,0,3147,2721,1865,,,,
s3q20_other_1,"3.20 Pesticide type (other,specify)",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q21_1,3.21 Pesticide unit of measurement,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,3147,2721,1865,,,,
s3q22_1,3.22 Total Quantity of pesticide used,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,3147,2721,1865,,,,
s3q23_1,3.23 Quantity of Pesticide purchased and applied on this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,3147,2721,1865,,,,
s3q24_1,3.24 Total amount spent on quantity bought (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,2651,1845,,,,
s3q20_2,3.20 Pesticide type,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate (DUDU), 4=Cypermethrin, 5=Dursiban …",54,0,0,0,0,0,0,0,0,0,0,0,0,1043,1220,1072,,,,
s3q20_other_2,"3.20 Pesticide type (other,specify)",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q21_2,3.21 Pesticide unit of measurement,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,1043,1220,1072,,,,
s3q22_2,3.22 Total Quantity of pesticide used,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,1220,1072,,,,
s3q23_2,3.23 Quantity of Pesticide purchased and applied on this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,1220,1072,,,,
s3q24_2,3.24 Total amount spent on quantity bought (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,1217,1062,,,,
s3q20_3,3.20 Pesticide type,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate (DUDU), 4=Cypermethrin, 5=Dursiban …",54,0,0,0,0,0,0,0,0,0,0,0,0,373,502,341,,,,
s3q20_other_3,"3.20 Pesticide type (other,specify)",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q21_3,3.21 Pesticide unit of measurement,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,373,502,341,,,,
s3q22_3,3.22 Total Quantity of pesticide used,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,373,502,341,,,,
s3q23_3,3.23 Quantity of Pesticide purchased and applied on this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,373,502,341,,,,
s3q24_3,3.24 Total amount spent on quantity bought (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,372,502,337,,,,
s3q20_4,3.20 Pesticide type,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate (DUDU), 4=Cypermethrin, 5=Dursiban …",54,0,0,0,0,0,0,0,0,0,0,0,0,109,139,86,,,,
s3q20_other_4,"3.20 Pesticide type (other,specify)",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q21_4,3.21 Pesticide unit of measurement,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,0,0,0,0,0,0,0,0,0,109,139,86,,,,
s3q22_4,3.22 Total Quantity of pesticide used,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,139,86,,,,
s3q23_4,3.23 Quantity of Pesticide purchased and applied on this plot,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,139,86,,,,
s3q24_4,3.24 Total amount spent on quantity bought (Rwf),int32,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,138,83,,,,
doi,1.17 Date of interview,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s1q14,1.14 Did the farmer respond him/herself?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,16864,0,,,,
s1q17,1.17 Relationship of respondent to the farmer,int8,"1=Spouse, 2=Adopted child, 3=Child, 4=Relative, 5=Parent …",8,0,0,0,0,0,0,0,0,0,0,0,0,0,4454,0,,,,
unit_price1,1 unit_price,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,,,,
unit_price2,2 unit_price,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,,,,
unit_price3,3 unit_price,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,,,,
unit_price4,4 unit_price,double,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,,,,
