variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2024,source,versions,label_variants,value_label_conflicts
q406_3,"Received from NGO, Government Institutions:If yes (2, 3 or 4) where did you get",int8,,0,0,0,7456,0,0,,,,
q406_4,"Free / Own production:If yes (2, 3 or 4) where did you get it from? (Total shoul",int32,,0,0,0,7456,0,0,,,,
q407_1,Is any of the land that your household farms irrigated?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q407_2,If yes how much of the land you farm is irrigated?:,int8,,0,0,0,7456,0,0,,,,
q408_1,Is any of the land that your household farms protected against soil erosion? (eg,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q408_2,"If yes, how much of the land you farm is protected against soil erosion?:",int8,,0,0,0,7456,0,0,,,,
q408_3,What type of anti erosion did your household use?,int8,,0,0,0,7456,0,0,,,,
q409_01,Hoe:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_02,Shovel:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_03,Rake:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_04,Spade:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_05,Pick:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_06,Wheel barrow:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_07,Plough / Ox plough:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_08,Grinding mill:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_09,Oil press:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_10,Sewing machine:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_11,Ironing machine:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_12,Radio (only):Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_13,Tape / CD player:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_14,Mobile phone:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_15,Living room suite (chairs sofa:Does your household own any of the following item,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_16,Bed:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_17,Bicycle:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_18,Motorized vehicle of any kind:Does your household own any of the following items,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q409_19,Fishing boat / Canoe:Does your household own any of the following items.,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q410,Do you have a household vegetable plot /garden?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q411,Does your household own or manage any farm-animals?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa412_1,Chicken - Total owened,int8,,0,0,0,7456,0,0,,,,
qa412_2,Chicken - Total managed,int8,,0,0,0,7456,0,0,,,,
qb412_1,Ducks and other poultry - Total owened,int8,,0,0,0,7456,0,0,,,,
qb412_2,Ducks and other poultry - Total managed,int8,,0,0,0,7456,0,0,,,,
qc412_1,Goats - Total owened,int8,,0,0,0,7456,0,0,,,,
qc412_2,Goats - Total managed,int8,,0,0,0,7456,0,0,,,,
qd412_1,Sheep - Total owened,int8,,0,0,0,7456,0,0,,,,
qd412_2,Sheep - Total managed,int8,,0,0,0,7456,0,0,,,,
qe412_1,Pigs - Total owened,int8,,0,0,0,7456,0,0,,,,
qe412_2,Pigs - Total managed,int8,,0,0,0,7456,0,0,,,,
qf412_1,Cattle - Total owened,int8,,0,0,0,7456,0,0,,,,
qf412_2,Cattle - Total managed,int8,,0,0,0,7456,0,0,,,,
qg412_1,Rabbits - Total owened,int16,,0,0,0,7456,0,0,,,,
qg412_2,Rabbits - Total managed,int8,,0,0,0,7456,0,0,,,,
qh412_1,Other - Total owened,int8,,0,0,0,7456,0,0,,,,
qh412_2,Other - Total managed,int8,,0,0,0,7456,0,0,,,,
q501,How many crops does your HH cultivate?:,int8,,0,0,0,7456,0,0,,,,
q502,Is any member of your household a member of a farmer organization/cooperative?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1503_a_1,Main crop - Crop name,int8,"0=No other crop, 1=Wheat, 2=Maize, 3=Sorghum, 4=Rice …",30,0,0,7456,0,0,,,,
q1503_a_2,Main crop - Specify other crop,int8,,0,0,0,7441,0,0,,,,
q1503_a_3,Main crop - Crop seasonality,int8,"1=Annual crop, 2=Perennial",2,0,0,7456,0,0,,,,
q1503_b_1,Main crop - Did you cultivate this crop in season A2012,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q1503_b_2,Main crop - Did you cultivate this crop in season B2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q1503_b_3,Main crop - Did you cultivate this crop in season C2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q1503_c_1,Main crop - How long did your household have food stocks from this crop's harves,int8,"0=0 month, 1=1 month, 2=2 months, 3=3 months, 4=4 months …",15,0,0,7456,0,0,,,,
q1503_c_2,Main crop - How long did your household have food stocks from this crop's harves,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q1503_c_3,Main crop - How long did your household have food stocks from this crop's harves,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q1503_c_4,Main crop - How long did your household have food stocks from this crop's harves,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q1503_d,Main crop - What % of your total land do you generally use for this crop?,int8,,0,0,0,7456,0,0,,,,
q1503_e,Main crop - What % of your production for this crop do you directly consume (inc,int8,,0,0,0,7456,0,0,,,,
q1503_f_1,Main crop - What % of your production for this crop do you sell,int8,,0,0,0,7456,0,0,,,,
q1503_f_2,"Main crop - What % of your production for this crop do you give a way? (gifts, a",int8,,0,0,0,7456,0,0,,,,
q1503_g,Main crop - Of this [major crop] approximately what percentage is lost/became sp,int8,,0,0,0,7456,0,0,,,,
q1503_h_1,Main crop - How do you normally acquire [major crop] seeds/planting material?,int8,"1=purchase, 2=exchange with farmers, 3=gift from relatives/family, 4=reserved from  previous harvest, 5=received from NGOs, Government …",6,0,0,7456,0,0,,,,
q1503_h_2,Main crop - Specify other,int8,,0,0,0,7185,0,0,,,,
q1503_i_1,Main crop - Whom did you sell the majority of this crop to?,int8,"1=purchaser in the field, 2=trader in the village market, 3=trader in the sector market, 4=trader in the district market, 5=individual consumer, family and relatives …",8,0,0,7454,0,0,,,,
q1503_i_2,Main crop - Specify other,int8,,0,0,0,7340,0,0,,,,
q2503_a_1,Second crop - Crop name,int8,"0=No other crop, 1=Wheat, 2=Maize, 3=Sorghum, 4=Rice …",30,0,0,7456,0,0,,,,
q2503_a_2,Second crop - Specify other crop,int8,,0,0,0,7422,0,0,,,,
q2503_a_3,Second crop - Crop seasonality,int8,"1=Annual crop, 2=Perennial",2,0,0,7455,0,0,,,,
q2503_b_1,Second crop - Did you cultivate this crop in season A2012,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7455,0,0,,,,
q2503_b_2,Second crop - Did you cultivate this crop in season B2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q2503_b_3,Second crop - Did you cultivate this crop in season C2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q2503_c_1,Second crop - How long did your household have food stocks from this crop's harv,int8,"0=0 month, 1=1 month, 2=2 months, 3=3 months, 4=4 months …",15,0,0,7456,0,0,,,,
q2503_c_2,Second crop - How long did your household have food stocks from this crop's harv,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q2503_c_3,Second crop - How long did your household have food stocks from this crop's harv,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q2503_c_4,Second crop - How long did your household have food stocks from this crop's harv,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q2503_d,Second crop - What % of your total land do you generally use for this crop?,int8,,0,0,0,7456,0,0,,,,
q2503_e,Second crop - What % of your production for this crop do you directly consume (i,int8,,0,0,0,7456,0,0,,,,
q2503_f_1,Second crop - What % of your production for this crop do you sell,int8,,0,0,0,7456,0,0,,,,
q2503_f_2,"Second crop - What % of your production for this crop do you give a way? (gifts,",int8,,0,0,0,7456,0,0,,,,
q2503_g,Second crop - Of this [major crop] approximately what percentage is lost/became,int8,,0,0,0,7456,0,0,,,,
q2503_h_1,Second crop - How do you normally acquire [major crop] seeds/planting material?,int8,"1=purchase, 2=exchange with farmers, 3=gift from relatives/family, 4=reserved from  previous harvest, 5=received from NGOs, Government …",6,0,0,7456,0,0,,,,
q2503_h_2,Second crop - Specify other,int8,,0,0,0,7155,0,0,,,,
q2503_i_1,Second crop - Whom did you sell the majority of this crop to?,int8,"1=purchaser in the field, 2=trader in the village market, 3=trader in the sector market, 4=trader in the district market, 5=individual consumer, family and relatives …",8,0,0,7454,0,0,,,,
q2503_i_2,Second crop - Specify other,int8,,0,0,0,7388,0,0,,,,
q3503_a_1,Third crop - Crop name,int8,"0=No other crop, 1=Wheat, 2=Maize, 3=Sorghum, 4=Rice …",30,0,0,7456,0,0,,,,
q3503_a_2,Third crop - Specify other crop,int8,,0,0,0,7426,0,0,,,,
q3503_a_3,Third crop - Crop seasonality,int8,"1=Annual crop, 2=Perennial",2,0,0,7456,0,0,,,,
q3503_b_1,Third crop - Did you cultivate this crop in season A2012,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q3503_b_2,Third crop - Did you cultivate this crop in season B2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q3503_b_3,Third crop - Did you cultivate this crop in season C2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q3503_c_1,Third crop - How long did your household have food stocks from this crop's harve,int8,"0=0 month, 1=1 month, 2=2 months, 3=3 months, 4=4 months …",15,0,0,7456,0,0,,,,
q3503_c_2,Third crop - How long did your household have food stocks from this crop's harve,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q3503_c_3,Third crop - How long did your household have food stocks from this crop's harve,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q3503_c_4,Third crop - How long did your household have food stocks from this crop's harve,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q3503_d,Third crop - What % of your total land do you generally use for this crop?,int8,,0,0,0,7456,0,0,,,,
q3503_e,Third crop - What % of your production for this crop do you directly consume (in,int8,,0,0,0,7456,0,0,,,,
q3503_f_1,Third crop - What % of your production for this crop do you sell,int8,,0,0,0,7456,0,0,,,,
q3503_f_2,"Third crop - What % of your production for this crop do you give a way? (gifts,",int8,,0,0,0,7456,0,0,,,,
q3503_g,Third crop - Of this [major crop] approximately what percentage is lost/became s,int8,,0,0,0,7456,0,0,,,,
q3503_h_1,Third crop - How do you normally acquire [major crop] seeds/planting material?,int8,"1=purchase, 2=exchange with farmers, 3=gift from relatives/family, 4=reserved from  previous harvest, 5=received from NGOs, Government …",6,0,0,7456,0,0,,,,
q3503_h_2,Third crop - Specify other,int8,,0,0,0,7234,0,0,,,,
q3503_i_1,Third crop - Whom did you sell the majority of this crop to?,int8,"1=purchaser in the field, 2=trader in the village market, 3=trader in the sector market, 4=trader in the district market, 5=individual consumer, family and relatives …",8,0,0,7456,0,0,,,,
q3503_i_2,Third crop - Specify other,int8,,0,0,0,7416,0,0,,,,
q4503_a_1,Fourth crop - Crop name,int8,"0=No other crop, 1=Wheat, 2=Maize, 3=Sorghum, 4=Rice …",30,0,0,7456,0,0,,,,
q4503_a_2,Fourth crop - Specify other crop,int8,,0,0,0,7431,0,0,,,,
q4503_a_3,Fourth crop - Crop seasonality,int8,"1=Annual crop, 2=Perennial",2,0,0,7456,0,0,,,,
q4503_b_1,Fourth crop - Did you cultivate this crop in season A2012,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q4503_b_2,Fourth crop - Did you cultivate this crop in season B2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q4503_b_3,Fourth crop - Did you cultivate this crop in season C2011,int8,"0=Not cultivated, 1=Cultivated",2,0,0,7456,0,0,,,,
q4503_c_1,Fourth crop - How long did your household have food stocks from this crop's harv,int8,"0=0 month, 1=1 month, 2=2 months, 3=3 months, 4=4 months …",15,0,0,7456,0,0,,,,
q4503_c_2,Fourth crop - How long did your household have food stocks from this crop's harv,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q4503_c_3,Fourth crop - How long did your household have food stocks from this crop's harv,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q4503_c_4,Fourth crop - How long did your household have food stocks from this crop's harv,int8,"1=1 month, 2=2 months, 3=3 months, 4=4 months, 5=5 months …",13,0,0,7456,0,0,,,,
q4503_d,Fourth crop - What % of your total land do you generally use for this crop?,int8,,0,0,0,7456,0,0,,,,
q4503_e,Fourth crop - What % of your production for this crop do you directly consume (i,int8,,0,0,0,7456,0,0,,,,
q4503_f_1,Fourth crop - What % of your production for this crop do you sell,int8,,0,0,0,7456,0,0,,,,
q4503_f_2,"Fourth crop - What % of your production for this crop do you give a way? (gifts,",int8,,0,0,0,7456,0,0,,,,
q4503_g,Fourth crop - Of this [major crop] approximately what percentage is lost/became,int8,,0,0,0,7456,0,0,,,,
q4503_h_1,Fourth crop - How do you normally acquire [major crop] seeds/planting material?,int8,"1=purchase, 2=exchange with farmers, 3=gift from relatives/family, 4=reserved from  previous harvest, 5=received from NGOs, Government …",6,0,0,7456,0,0,,,,
q4503_h_2,Fourth crop - Specify other,int8,,0,0,0,7332,0,0,,,,
q4503_i_1,Fourth crop - Whom did you sell the majority of this crop to?,int8,"1=purchaser in the field, 2=trader in the village market, 3=trader in the sector market, 4=trader in the district market, 5=individual consumer, family and relatives …",8,0,0,7455,0,0,,,,
q4503_i_2,Fourth crop - Specify other,int8,,0,0,0,7438,0,0,,,,
q601_1,Household migrants,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q601_2,How many?:,int8,,0,0,0,7456,0,0,,,,
q602,How much did this household receive from remittances in the last 12 months?:,int8,"1=0  to 10000 RWF, 2=10000  to  20000 RWF, 3=20000 to  50000 RWF, 4=>50000 RWF, 5=50,000 to 200,000 FRW …",7,0,0,7456,0,0,,,,
q701,Have you or any household member taken a loan in the in the last 12 months?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q702_1,What was the main use of the largest loan taken in the last 12 months?:,int8,"1=Agricultural inputs, 2=Food purchases, 3=Construction other than house, 4=Health emergency, 5=Business investment …",12,0,0,7456,0,0,,,,
q702_2,Specify other:,int8,,0,0,0,7237,0,0,,,,
q703_1,What was the source of the largest loan?:,int8,"1=Family / friends in Rwanda, 2=Micro-finance Institution (Credit d'Epargne/NGO/Sacco), 3=Family / friends outside Rwanda, 4=Bank, 5=Shopkeeper /traders …",9,0,0,7453,0,0,,,,
q703_2,Specify other:,int8,,0,0,0,7361,0,0,,,,
q704,Household  total loan,int32,,0,0,0,7455,0,0,,,,
qa801_1,Cereals (grain or flour),int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qa801_2,Cereals (grain or flour) - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qb801_1,Roots and Tubers (including flour),int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qb801_2,Roots and Tubers (including flour) - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qc801_1,Bread,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qc801_2,Bread - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qd801_1,"Banana (cooking, and fruit)",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qd801_2,"Banana (cooking, and fruit) - If yes How much?:_",int32,,0,0,0,7456,0,0,,,,
qe801_1,Meat/Poultry/Fish,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qe801_2,Meat/Poultry/Fish - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qf801_1,Milk  and other dairy,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qf801_2,Milk  and other dairy - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qg801_1,"Oil, fat, butter",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qg801_2,"Oil, fat, butter - If yes How much?:_",int32,,0,0,0,7456,0,0,,,,
qh801_1,Fresh fruits,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qh801_2,Fresh fruits - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qi801_1,"Beans, peas and other pulses",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qi801_2,"Beans, peas and other pulses - If yes How much?:_",int32,,0,0,0,7456,0,0,,,,
qj801_1,vegetables,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qj801_2,vegetables - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qk801_1,Groundnuts,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qk801_2,Groundnuts - If yes How much?:_,int16,,0,0,0,7456,0,0,,,,
ql801_1,Sugar and sweet products,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
ql801_2,Sugar and sweet products - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qm801_1,salt and spices,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qm801_2,salt and spices - If yes How much?:_,int16,,0,0,0,7456,0,0,,,,
qn801_1,Drinking water,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qn801_2,Drinking water - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qo801_1,other non alcoholic beverages,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qo801_2,other non alcoholic beverages - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qp801_1,Meals and drinks taken outside the house,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qp801_2,Meals and drinks taken outside the house - If yes How much?:_,int32,,0,0,0,7456,0,0,,,,
qq801_1,"Other, specify____________",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qq801_2,"Other, specify____________ - If yes How much?:_",int32,,0,0,0,7456,0,0,,,,
qa802_1,Alcohol & Tobacco,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qa802_2,"Alcohol & Tobacco - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qb802_1,Soap and other personal hygiene items,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qb802_2,"Soap and other personal hygiene items - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qc802_1,Transport,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qc802_2,"Transport - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qd802_1,Lighting and cooking energy materials (eg: Firewood/,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qd802_2,"Lighting and cooking energy materials (eg: Firewood/ - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qe802_1,Waste disposal,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qe802_2,"Waste disposal - If yes, how much:_",int16,,0,0,0,7456,0,0,,,,
qf802_1,Rent (house / land),int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qf802_2,"Rent (house / land) - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qg802_1,Milling,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qg802_2,"Milling - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qh802_1,"Communication (mobile phone, me2u, internet…)",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qh802_2,"Communication (mobile phone, me2u, internet…) - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qi802_1,"Other, specify__________",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qi802_2,"Other, specify__________ - If yes, how much:_",int32,,0,0,0,7456,0,0,,,,
qa803_1,"Medical expenses, health care",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qa803_2,"Medical expenses, health care - If yes how much:_",int32,,0,0,0,7456,0,0,,,,
qb803_1,"Education, school fees, uniform, etc",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qb803_2,"Education, school fees, uniform, etc - If yes how much:_",int32,,0,0,0,7456,0,0,,,,
qc803_1,"Clothing, shoes",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qc803_2,"Clothing, shoes - If yes how much:_",int32,,0,0,0,7456,0,0,,,,
qd803_1,household furnishings and appliances,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qd803_2,household furnishings and appliances - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qe803_1,"Construction, house repair",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qe803_2,"Construction, house repair - If yes how much:_",int32,,0,0,0,7456,0,0,,,,
qf803_1,Agriculture and related expenses,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qf803_2,Agriculture and related expenses - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qg803_1,Livestock and related expenditures,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qg803_2,Livestock and related expenditures  If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qh803_1,Hiring non-agricultural labour,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qh803_2,Hiring non-agricultural labour - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qi803_1,Debts/mortgage/loan repayment,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qi803_2,Debts/mortgage/loan repayment - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qj803_1,"Fines, taxes",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qj803_2,"Fines, taxes - If yes how much:_",int32,,0,0,0,7456,0,0,,,,
qk803_1,Ceremonies,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qk803_2,Ceremonies - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
ql803_1,Gifts/donations,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
ql803_2,Gifts/donations - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qm803_1,Leisure,int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qm803_2,Leisure - If yes how much:_,int32,,0,0,0,7456,0,0,,,,
qn803_1,"Other, specify__________",int8,"0=No, 1=Yes, 99=Don't know",3,0,0,7456,0,0,,,,
qn803_2,"Other, specify__________ - If yes how much:_",int32,,0,0,0,7456,0,0,,,,
q901,Yesterday adults meals,int32,,0,0,0,7456,0,0,,,,
q902,Yesterday children meals,int32,,0,0,0,7456,0,0,,,,
q903,Is this unusual at this time of year?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa904_1,"Maize/Maize meal (e.g. Ugali, posho)",int8,,0,0,0,7451,0,0,,,,
qa904_2,"Maize/Maize meal (e.g. Ugali, posho) - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,5172,0,0,,,,
qb904_1,Sorghum,int8,,0,0,0,7451,0,0,,,,
qb904_2,Sorghum - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2533,0,0,,,,
qc904_1,"Other cereals (Rice, wheat …)",int8,,0,0,0,7449,0,0,,,,
qc904_2,"Other cereals (Rice, wheat …) - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2684,0,0,,,,
qd904_1,Cassava,int8,,0,0,0,7451,0,0,,,,
qd904_2,Cassava - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,4612,0,0,,,,
qe904_1,White sweet Potato,int8,,0,0,0,7451,0,0,,,,
qe904_2,White sweet Potato - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,5544,0,0,,,,
qf904_1,Other White Roots and tubers (potatoes…),int8,,0,0,0,7451,0,0,,,,
qf904_2,Other White Roots and tubers (potatoes…) - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1883,0,0,,,,
qg904_1,Mandazi / Chapatti / Bread,int8,,0,0,0,7451,0,0,,,,
qg904_2,Mandazi / Chapatti / Bread - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2378,0,0,,,,
qh904_1,"Carrot, orange sweet potato or other tubers that are orange inside",int8,,0,0,0,7451,0,0,,,,
qh904_2,"Carrot, orange sweet potato or other tubers that are orange inside - Main source",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1431,0,0,,,,
qi904_1,Cooking banana,int8,,0,0,0,7451,0,0,,,,
qi904_2,Cooking banana - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,4601,0,0,,,,
qj904_1,"Beans, Peas and other pulses",int8,,0,0,0,7451,0,0,,,,
qj904_2,"Beans, Peas and other pulses - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,7208,0,0,,,,
qk904_1,Dark green leafy vegetables (eg. Cassava Leaves ?),int8,,0,0,0,7451,0,0,,,,
qk904_2,Dark green leafy vegetables - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,6607,0,0,,,,
ql904_1,"Pumpkin, squash and other orange vegetables",int8,,0,0,0,7451,0,0,,,,
ql904_2,"Pumpkin, squash and other orange vegetables - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,513,0,0,,,,
