variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
p14c,Father alive,int8,"1=Yes, 2=No, 3=Don't know, 9=missing, 99=Not applicable",5,residents under 18,0,1038369,0,,,,,
p14d,Natural father live in household,int8,"1=Yes, 2=No, 9=missing, 99=Not applicable",4,residents under 18,0,1038369,0,,,,,
p15,Birth Registration,int8,"1=Yes, 2=No, 3=Don't know, 9=missing, 99=Not applicable",5,all residents (birth registration),0,1038369,0,2002 original label (FR): Survie des parents,2012,p15_v2 (2002–2002),,
p16,Languages reading and written,int16,"0=None, 1=Kinyarwanda, 2=French, 3=Kinya and French, 4=English, 5=Kinya and English …",18,residents aged 3+ (P18a-P19 if ever attended school),0,1038369,0,2002 original label (FR): Fréquentation scolaire,2012,p16_v2 (2002–2002),,
p17,School attendance,int8,"1=Has never attended, 2=Has ever Attended, 3=Is currently attending school, 9=missing, 99=Not applicable",5,residents aged 3+ (P18a-P19 if ever attended school),0,1038369,0,2002 original label (FR): Niveau d'instruction,2012,p17_v2 (2002–2002),,
p18a,Educational level,int8,"0=Preschool, 1=Primary, 2=Post Primary, 3=Secondary, 4=University, 9=missing …",7,residents aged 3+ (P18a-P19 if ever attended school),0,1038369,0,,,,,
p18b_v2,[2012-2012 version] Years completed,int8,"9=missing, 99=Not applicable",2,residents aged 3+ (P18a-P19 if ever attended school),0,1038369,0,,2012,p18b (2022–2022),,
p20,Work,int8,"1=Yes, 2=No, 9=missing, 99=Not applicable",4,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,1038369,0,2002 original label (FR): Alphabétisation,2012,p20_v2 (2002–2002),,
p21,Why did not work,int8,"0=Home worker, 1=Non-worker (Never worked), 2=Non-worker (Ever worked), 3=On leave, but has job, 4=Retired, 5=Old age …",9,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,1038369,0,2002 original label (FR): Situation dans l'activité économique,2012,p21_v2 (2002–2002),,
p22,Work done,int8,"1=Farming/Rearing animals/Fishing, 2=Production, 3=Services/selling, 4=House worker at someone's house, 5=House worker at own house, 6=None …",7,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,1038369,0,2002 original label (FR): Emploi,2012,p22_v2 (2002–2002),,
p23,Ready to work,int8,"1=Yes, 2=No, 9=Not applicable",3,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,1038369,0,2002 original label (FR): Statut dans l'emploi,2012,p23_v2 (2002–2002),,
p24_v2,[2012-2012 version] Seeking for work,int8,"0=No, 1=Yes, 1rst Job, 2=Yes, New Job, 9=Not applicable",4,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,1038369,0,,2012,"p24 (2022–2022), p24_v3 (2002–2002)",,
p25,"Main occupation, ISCO-08 4-digit (labels from z_Documentation/2012 ISCO code lis",int16,"1111=Legislators, 1112=Senior government officials, 1113=Traditional chiefs and heads of village, 1114=Senior officials of special-interest organizations, 1120=Managing directors and chief executives, 1211=Finance managers …",418,residents aged 5+ currently working or who ever worked,0,1038369,0,2002 original label (FR): Secteur d'activité,2012,p25_v2 (2002–2002),,
p26,Status in employment,int8,"1=Employee, 2=Employer, 3=Self-employed, 4=Contributing family worker, 5=Producers cooperative member, 6=Other …",8,residents aged 5+ currently working or who ever worked,0,1038369,0,2002 original label (FR): Etat matrimonial,2012,p26_v2 (2002–2002),,
p27,"Branch of economic activity, ISIC Rev.4 class (3-4 digit code as shipped, unlabe",int16,"9900=Activities of extraterritorial organizations and bodies, 9998=missing, 9999=Not applicable",3,residents aged 5+ currently working or who ever worked,0,1038369,0,,,,,
p28,Institutional sector of employment,int8,"1=Public, 2=Private, 3=Non Profit Institution, 4=Household, 9=missing, 99=Not applicable",6,residents aged 5+ currently working or who ever worked,0,1038369,0,,,,,
p29_v2,[2012-2012 version] Marital status,int8,"1=Never Married, 2=Married, 3=Separated, 4=Widowed, 5=Divorced, 9=missing …",7,residents aged 12+,0,1038369,0,,2012,p29 (2022–2022),,
p30,Number of spouses,int8,"8=8 spouses and more, 9=missing, 99=Not applicable",3,married men aged 12+,0,1038369,0,,,,,
p31_v2,[2012-2012 version] Current rank as spouse,int8,"8=Rank 8 and more, 9=missing, 99=Not applicable",3,married women aged 12+,0,1038369,0,,2012,p31 (2022–2022),,
p32_v2,[2012-2012 version] Age at first marriage,int16,"98=Aged 98 and more, 99=missing, 999=Not applicable",3,ever-married residents aged 12+,0,1038369,0,,2012,p32 (2022–2022),,
p33m,Males ever born,int8,"98=missing, 99=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p33f,Females ever born,int8,"98=missing, 99=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p34m,Males alive,int8,"98=missing, 99=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p34f,Females alive,int8,"98=missing, 99=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p35m,Males born in 12 months,int8,"8=missing, 9=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p35f,Females born in 12 months,int8,"8=missing, 9=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p36m,Males alive in 12 months,int8,"8=missing, 9=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
p36f,Females alive 12 months,int8,"8=missing, 9=Not applicable",2,resident women aged 12+,0,1038369,0,,,,,
rp142,"Parental co-residence, residents under 18 (NISR recode of P14b x P14d)",int8,"1=Live with father, Live with mother, 2=Live with father, Does not live with mother, 3=Does not live with father, Live with mother, 4=Does not live with father, Does not live with mother, 9=Missing",5,,0,496883,0,,,,,
rp12,"Disability status, any difficulty (NISR recode of P12)",int8,"0=Without disability, 1=With disability, 9=Missing",3,,0,1036475,0,,,,,
rp08,Nationality group (NISR recode of P08),int8,"1=Rwanda only, 2=Rwanda & other citizenship, 3=Burundi, 4=Uganda, 5=Tanzania, 6=Kenya …",12,,0,1038369,0,,,,,
rp2024,"Activity status, residents aged 5+ (NISR recode of P20-P24; 1 = worked or on lea",int8,"1=Employed, 2=Unemployed - Never worked, 3=Unemployed - worked, 4=Home worker, 5=Old people/Retired, 6=Students …",8,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,883622,0,,,,,
rp2124,"Reason for not working (NISR recode of P21, inactive only)",int8,"4=Home worker, 5=Old people/Retired, 6=Students, 7=Other",4,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,0,0,,,,,
rl07,"Urban/rural, 2-way (NISR recode of L07: urban + semi-urban = 1, rural + peri-urb",int8,"1=Urban, 2=Rural",2,,0,1038369,0,,,,,
rp04y,Year of birth (NISR copy of P04Y),int16,,0,,0,1038369,0,,,,,
h03_v2,[2012-2012 version] Status of occupancy of house,int8,"1=Owner, 2=Tenant, 3=Hire purchase, 4=Free lodging, 5=Staff housing, 6= Refuge/Temporary camp settlement …",7,private households (repeated on every member),0,1038369,0,,2012,"h03 (2022–2022), h03_v3 (2002–2002)",,
h04_v2,[2012-2012 version] Roof,int8,"1=Iron sheets, 2=Local tiles, 3=Industrial tiles, 4=Asbestos, 5=Concrete, 6=Cartoons/Sheathing …",8,private households (repeated on every member),0,1038369,0,,2012,"h04 (2022–2022), h04_v3 (2002–2002)",,
h05_v2,[2012-2012 version] Walls,int8,"1=Wood/Mud, 2=Wood/ Cement mud, 3=Sundried bricks, 4=Plastic sheating/Cardboard, 5=Cement Blocks/Concrete, 6=Stone …",9,private households (repeated on every member),0,1038369,0,,2012,"h05 (2022–2022), h05_v3 (2002–2002)",,
h06_v2,[2012-2012 version] Floor,int8,"1=Earth/Sand, 2=Concrete, 3=Stone, 4=Burn Bricks, 5=Timber, 6=Other",6,private households (repeated on every member),0,1038369,0,,2012,"h06 (2022–2022), h06_v3 (2002–2002)",,
h07_v2,[2012-2012 version] Number of rooms,int8,15=15 rooms and more,1,private households (repeated on every member),0,1038369,0,,2012,"h07 (2022–2022), h07_v3 (2002–2002)",,
h08_v2,[2012-2012 version] Number of rooms for sleeping,int8,15=15 rooms and more,1,private households (repeated on every member),0,1038369,0,,2012,"h08 (2022–2022), h08_v3 (2002–2002)",,
h09_v2,[2012-2012 version] Number of occupants,int8,30=30 and +,1,private households (repeated on every member),0,1038369,0,,2012,"h09 (2022–2022), h09_v3 (2002–2002)",,
h10_v2,[2012-2012 version] Main source of water,int8,"1=Internal Pip-born water, 2=Pipe-born water in the compound, 3=Public tap out of the compound, 4=Protected spring/Well, 5=Unprotected Spring/Well, 6=Rain Water …",9,private households (repeated on every member),0,1038369,0,,2012,"h10 (2022–2022), h10_v3 (2002–2002)",,
h11_v2,[2012-2012 version] Type of toilet facility,int8,"1=Flush toilet/Water close (WC) system, 2=Private pit latrine, 3=Public pit latrine, 4=Bush, 5=Other",5,private households (repeated on every member),0,1038369,0,,2012,"h11 (2022–2022), h11_v3 (2002–2002)",,
h12_v2,[2012-2012 version] Source of lighting,int8,"1=Electricity by EWSA, 2=Hydro-electric or other private source, 3=Solar power, 4=Generator, 5=Kerosene lamp, 6=Paraffin …",10,private households (repeated on every member),0,1038369,0,,2012,"h12 (2022–2022), h12_v3 (2002–2002)",,
h13_v2,[2012-2012 version] Energy of cooking,int8,"1=Electricity, 2=Gas, 3=Biogas, 4=Kerosene, 5=Firewood, 6=Charcoal …",8,private households (repeated on every member),0,1038369,0,,2012,"h13 (2022–2022), h13_v3 (2002–2002)",,
h14_v2,[2012-2012 version] Energy saving stove,int8,"1=Yes, and it is used, 2=Yes, but not used, 3=No",3,private households (repeated on every member),0,1038369,0,,2012,"h14 (2022–2022), h14_v3 (2002–2002)",,
h15_v2,[2012-2012 version] Mode of household waste disposal,int8,"1=Compost dumping, 2=Private dust bins, 3=Public refuse dumps, 4=In the bush, 5=On the farms, 6=In a river/Stream/Drain/Gutter …",7,private households (repeated on every member),0,1038369,0,,2012,"h15 (2022–2022), h15_v3 (2002–2002)",,
h16_v2,[2012-2012 version] Mode of sewage disposal,int8,"1=Sump, 2=In the countryard, 3=Rivulet/Trench/Channels, 4=In the street, 5=Main sewer, 6=Cesspool …",8,private households (repeated on every member),0,1038369,0,,2012,h16 (2022–2022),,
h17_v2,[2012-2012 version] Radio,int8,8=8 and +,1,private households (repeated on every member),0,1038369,0,,2012,"h17 (2022–2022), h17_v3 (2002–2002)",,
h18_v2,[2012-2012 version] Television,int8,8=8 and +,1,private households (repeated on every member),0,1038369,0,,2012,"h18 (2022–2022), h18_v3 (2002–2002)",,
h19_v2,[2012-2012 version] Telephone (fixed line),int8,8=8 and +,1,private households (repeated on every member),0,1038369,0,,2012,h19 (2022–2022),,
h20_v2,[2012-2012 version] Cell phone,int8,20=20 and +,1,private households (repeated on every member),0,1038369,0,,2012,h20 (2022–2022),,
h21,Refrigerator/ Freezer,int8,8=8 and +,1,private households (repeated on every member),0,1038369,0,,,,,
h22_v2,[2012-2012 version] Computer,int8,8=8 and +,1,private households (repeated on every member),0,1038369,0,,2012,h22 (2022–2022),,
h23_v2,[2012-2012 version] Bicycles,int8,10=10 and +,1,private households (repeated on every member),0,1038369,0,,2012,h23 (2022–2022),,
h24,Vehicles,int8,10=10 and +,1,private households (repeated on every member),0,1038369,0,,,,,
h25,Motorcycles,int8,10=10 and +,1,private households (repeated on every member),0,1038369,0,,,,,
h26_v2,[2012-2012 version] Internet Access,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,1038369,0,,2012,h26 (2022–2022),,
h27_v2,[2012-2012 version] Where do you access internet,int8,"1=From home, 2=From Office/School, 3=From home and From Office/School, 4=From Cyber Cafe, 5=Home and Cyber, 6=Office and Cyber …",17,private households (repeated on every member),0,1038369,0,,2012,h27 (2022–2022),,
h28a_v2,[2012-2012 version] Cattle:Local breed cow,int16,500=500 local breed cow and more,1,private households (repeated on every member),0,1038369,0,,2012,h28a (2022–2022),,
h28b,Cattle: Cross breed cow,int16,500=500 cross breed cow and more,1,private households (repeated on every member),0,1038369,0,,,,,
h28c,Cattle: Exotic breed cow,int16,500=500 exotic breed cow and more,1,private households (repeated on every member),0,1038369,0,,,,,
h29,Goats,int16,500=500 goats and more,1,private households (repeated on every member),0,1038369,0,,,,,
h30,Sheeps,int16,500=500 sheeps and more,1,private households (repeated on every member),0,1038369,0,,,,,
h31,Pigs,int16,500=500 pigs and more,1,private households (repeated on every member),0,1038369,0,,,,,
h32,Rabbits,int16,500=500 rabbits and more,1,private households (repeated on every member),0,1038369,0,,,,,
h33,Poultry/fowl,int16,500=500 poultry/fowls and more,1,private households (repeated on every member),0,1038369,0,,,,,
h34,Other,int16,500=500 other poulrty and more,1,private households (repeated on every member),0,1038369,0,,,,,
h35,Land,int8,"0=No, without land, 1=Yes, in his own land, 2=Yes, in land he rented, 3=in his own land and rent, 4=No, He/she has rented it out, 5=Own land, No he/she has rented it out …",16,private households (repeated on every member),0,1038369,0,,,,,
m1,Death in the Household,int8,"1=Yes, 2=No",2,private households (deaths in the last 12 months),0,1038369,0,,,,,
inclusionprobability_1_,Inclusion (Selection) Probability for Stage 1,double,,0,,0,1038369,0,,,,,
hhsize,Household Size,int8,,0,,0,1038369,0,,,,,
aggroup5,Five-Year Age-Group,int8,"1=0-4, 2=5-9, 3=10-14, 4=15-19, 5=20-24, 6=25-29 …",18,,0,1038369,0,,,,,
rp25,Occupation group,int8,"1=Managers, 2=Professionals, 3=Technicians and associate professionals, 4=Clerical support workers, 5=Service and sales workers, 6=Skilled agricultural, forestry and fishery workers …",11,residents aged 5+ currently working or who ever worked,0,1038369,0,,,,,
rp27,Industry group,int8,"1=Agriculture, forestry and fishing, 2=Mining and quarrying, 3=Manufacturing, 4=Electricity, gas, steam and air conditioning supply, 5=Water supply; sewerage, waste management and remediation activities, 6=Construction …",23,residents aged 5+ currently working or who ever worked,0,1038369,0,,,,,
filter__,P02 = 1 (FILTER),int8,"0=Not Selected, 1=Selected",2,,0,1038369,0,,,,,
p02_v2,[2022-2022 version] Relationship (Private HH only),int8,"1=Household head, 2=Spouse, 3=Son or daugther, 4=Adoptive child, 5=Father/ Mother, 6=Father in law/Mother in law …",14,,0,0,1313015,,2022,p02 (2002–2012),,
p06,marital status,int8,"1=Married to one wife/husband officially, 2=Married to one wife/husband not officially, 3=Live in a polygamous union, 4=Divorced, 5=Separated, 6=Never married …",7,residents aged 12+,0,0,910862,2002 original label (FR): Age,2022,p06_v2 (2012–2012),,
p07a,Residence Status,int8,"1=Usual resident, 2=Visitor",2,,0,0,1313015,,,,,
p07b,Residence status of resident member,int8,"1=Yes, slept in this HH (PR), 2=No, did not sleep in this HH (AR)",2,,0,0,1313015,,,,,
p08c,Age at first marriage,int16,"99=Uknown, 999=Not stated",2,"residents aged 12+ in a union (P08a men, P08b women in polygamous union)",0,0,507709,,,,,
p09a,Place of birth/country,int8,"1=Rwanda, 2=Abroad",2,usual residents,0,0,1313015,,,,,
p09b,Place of birh/district,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",31,usual residents,0,0,1277510,,,,,
p09c,Country of birth: country code,int16,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie, 6=South Africa, Afrique du Sud …",196,usual residents,0,0,1313015,,,,,
p10a,Duration of Residence,int16,"0=Less than one year, 888=Residence has not changed since birth, 999=Not started",3,usual residents,0,0,1313015,,,,,
p10b,Place of previous residence,int8,"1=In Rwanda, 2=Abroad",2,usual residents,0,0,311684,,,,,
p11a,District of previous residence,int8,"11=11 Nyarugenge, 12=12 Gasabo, 13=13 Kicukiro, 21=21 Nyanza, 22=22 Gisagara, 23=23 Nyaruguru …",31,usual residents,0,0,283288,,,,,
p11b,Country of previous residence: country code,int16,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie, 6=South Africa, Afrique du Sud …",195,usual residents,0,0,28396,,,,,
p12b,Nationality: country code,int16,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie, 6=South Africa, Afrique du Sud …",195,usual residents,0,0,1313015,,,,,
p13,Religious affiliation,int8,"1=Catholic, 2=ADEPR, 3=Protestant, 4=Adventist, 5=Other Christians, 6=Muslim …",13,usual residents,0,0,1313015,2002 original label (FR): Handicap,2022,"p13_v2 (2012–2012), p13_v3 (2002–2002)",,
p14,Medical insurance,int8,"1=Mutuelle, 2=RSSB (Former RAMA), 3=MMI, 4=Schools, 5=Employer, 6=Private insurance companies …",10,usual residents,0,0,1313015,2002 original label (FR): Caude de l'handicap,2022,p14_v2 (2002–2002),,
p15b,Level of difficulty of seeing,int8,"0=No - no difficulty, 1=Some difficulty, 2=A lot of difficulty, 3=Cannot see at all",4,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p16b,Level of difficulty of hearing,int8,"0=No - no difficulty, 1=Some difficulty, 2=A lot of difficulty, 3=Cannot hear at all",4,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p17b,Level of difficulty of walking,int8,"0=No - no difficulty, 1=Some difficulty, 2=A lot of difficulty, 3=Cannot walk or climbing steps at all",4,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p18b,Level of difficulty of communicating,int8,"0=No - no difficulty, 1=Some difficulty, 2=A lot of difficulty, 3=Cannot communicate at all",4,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,2022,p18b_v2 (2012–2012),,
p19b,Level of difficulty of remembering or concentrating,int8,"0=No - no difficulty, 1=Some difficulty, 2=A lot of difficulty, 3=Cannot remembering or concentrating at all",4,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p20b,Level of difficulty with self-care such as washing all over or dressing,int8,"0=No - no difficulty, 1=Some difficulty, 2=A lot of difficulty, 3=Cannot do at all",4,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p21a,Has a problem of short stature,int8,"1=Yes, 2=No",2,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p22a,Has a disability with albinism,int8,"1=Yes, 2=No",2,"residents aged 5+ (disability, Washington Group)",0,0,1141257,,,,,
p23a,Biological mother alive,int8,"1=Yes, 2=No, 9=Don't know",3,residents under 18,0,0,591109,,,,,
p23b,Biological mother live in this household,int8,"1=Yes, 2=No",2,residents under 18,0,0,574995,,,,,
p23bb,Select the name of the biological mother,int8,,0,residents under 18,0,0,515603,,,,,
p23c,Biological father alive,int8,"1=Yes, 2=No, 9=Don't know",3,residents under 18,0,0,591109,,,,,
p23d,Biological father live in this household,int8,"1=Yes, 2=No",2,residents under 18,0,0,550448,,,,,
p23dd,Select the name of the biological father,int8,,0,residents under 18,0,0,411653,,,,,
p24,Registered in the Civil Registration books,int8,"1=Yes, 2=No, 9=Don't know",3,residents under 18,0,0,591109,2002 original label (FR): Branche d'activité,2022,"p24_v2 (2012–2012), p24_v3 (2002–2002)",,
p29,Ever or currently attending  school,int8,"1=Has previously attended, 2=Is currentely attending, 3=Has never attended, 99=Not started",4,all residents (P30-P31 if ever attended school),0,0,1313015,,2022,p29_v2 (2012–2012),,
p30a,Highest level of education,int8,"1=ECD, 2=Nursery, 3=Primary, 4=INGOBOKA /Vocational training, 5=Lower secondary, 6=Upper secondary …",7,all residents (P30-P31 if ever attended school),0,0,1019380,2002 original label (FR): Enfants masculins nés dans les derniers 12 mois encore en vi,2022,p30a_v2 (2002–2002),,
p30b,Years of school complete successfully at that level,int8,99=Do not know,1,all residents (P30-P31 if ever attended school),0,0,984678,2002 original label (FR): Enfants féminins nés dans les derniers 12 mois encore en vie,2022,p30b_v2 (2002–2002),,
p31,Highest certificate/degree,int8,"1=Primary school certificate, 2=Post primary certificate (CE/FM/TVET I\TVET II), 3=EMA/ENTA, 4=O'level Certificate, 5=A3/D4/D5, 6=A2/D6/D7 …",17,all residents (P30-P31 if ever attended school),0,0,957576,,2022,p31_v2 (2012–2012),,
p32,Can read and write with understanding in the following languages,int8,"0=None, 1=Kinyarwanda only, 2=English only, 3=Kinyarwanda&Engish, 4=French only, 5=Kinyarwanda&French …",33,residents aged 10+,0,0,971536,,2022,p32_v2 (2012–2012),,
p33,Ever attended or currently attending Informal adult litteracy Program,int8,"1=Yes,Still Attending, 2=Yes, Completed, 3=Never attended",3,residents aged 10+,0,0,247827,,,,,
p34,Internet use,int8,"1=Yes, 2=No, 9=Don?t know",3,residents aged 10+,0,0,971536,,,,,
p35,Access to internet,int8,"1=From Home, 2=From work place, 3=From School/Place of Education, 4=From Another Person's home, 5=From Community Internet access facility, 6=From cyber café/From Commercial Internet …",7,residents aged 10+,0,0,129445,,,,,
p36c,type of mobile phone,int8,"0=Do not have mobile phone, 1=Smart phone, 2=Ordinary Phone with radio, 3=Ordinary Phone without radio",4,residents aged 10+,0,0,971536,,,,,
p46,Institutional sector,int8,"1=Public institution/enterprise., 2=Mixed public and private enterprise., 3=Private in non-agriculture activities., 4=Private in agriculture activities., 5=VUP., 6=International NGO/International organization. …",9,employed residents aged 16+ (P37-P45 identification questions are not in the public file),0,0,359336,,,,,
p47a, ISIC High level,int8,"1=Agriculture_forestry_and_fishing, 2=Mining_and_quarrying, 3=Manufacturing, 4=Electricity_gas_stream_and_air_conditioning_supply, 5=Water_supply,_gas_and_remediation_services, 6=Construction …",22,employed residents aged 16+ (P37-P45 identification questions are not in the public file),0,0,359336,,,,,
p48a,Main occupations(ISCO high level),int8,"1=Managers, 2= Professionals, 3=Technicians_and_associate_professionals, 4=Clerical_support_workers, 5=Service_and_sales_workers, 6=Skilled_agricultural,_forestry_and_fishery workers …",10,employed residents aged 16+ (P37-P45 identification questions are not in the public file),0,0,359336,,,,,
p49,status in employment,int8,"1=Employee, 2=Paid apprentice/Internee, 3=Employer (with regular employees), 4=Own account worker(without  regular employees), 5=Member of cooperative, 6=Contributing family worker …",7,employed residents aged 16+ (P37-P45 identification questions are not in the public file),0,0,359336,,,,,
p50a,given birth,int8,"1=Yes, 2=No",2,resident women aged 10+,0,0,511456,,,,,
p50b_boys,Number of live births ever had / boys,int8,0=None,1,resident women aged 10+,0,0,280008,,,,,
p50b_girls,Number of live births ever had / girls,int8,0=None,1,resident women aged 10+,0,0,280008,,,,,
p50c_boys,Among those children how many are still alive / Boys,int8,0=None,1,resident women aged 10+,0,0,280008,,,,,
p50c_girls,Among those children how many are still alive / Girls,int8,0=None,1,resident women aged 10+,0,0,280008,,,,,
p51a,During the last 12 months (From 15/08/2020-15/08/2021) [NAME] Have you ever give,int8,"1=Yes, 2=No",2,resident women aged 10+,0,0,235497,,,,,
p51b_boys,Number of live births  had during the last 12 months (From 15/08/2020-15/08/2021,int8,,0,resident women aged 10+,0,0,35088,,,,,
p51b_girls,Number of live births  had during the last 12 months (From 15/08/2020-15/08/2021,int8,,0,resident women aged 10+,0,0,35088,,,,,
p51c_boys,"Among those children s,how many are still alive / Boys",int8,,0,resident women aged 10+,0,0,35083,,,,,
p51c_girls,"Among those children s,how many are still alive / Girls",int8,,0,resident women aged 10+,0,0,35082,,,,,
h03,Tenure of then housing unit,int8,"1=Owner (Even when he/she is still paying the bank loan), 2=Tenant, 3=Hire purchase (Having payment contract with the owner), 4=Free lodging, 5=Staff housing, 6=Temporary camp or settlement …",7,private households (repeated on every member),0,0,1313015,2002 original label (FR): Toiture,2022,"h03_v2 (2012–2012), h03_v3 (2002–2002)",,
h04,Is this Household has its own housing unit  in this village or elsewhere,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,279444,2002 original label (FR): Murs,2022,"h04_v2 (2012–2012), h04_v3 (2002–2002)",,
h05,main material used for the roof,int8,"1=Iron Sheets, 2=Local tiles, 3=Industrial tiles, 4=Asbestos, 5=Concrete, 6=All non durable roofing materials (Cartoons, Sheeting, ...) …",9,private households (repeated on every member),0,0,1313015,2002 original label (FR): Pavement,2022,"h05_v2 (2012–2012), h05_v3 (2002–2002)",,
h06,main material used for the walls,int8,"1=Wood with mud and cement, 2=Wood with mud without cement, 3=Sun dried bricks  with cement, 4=Sun dried bricks  without  cement, 5=All non durable wall materials(Cartoons, Sheathing, ...), 6=Cement blocks …",14,private households (repeated on every member),0,0,1313015,2002 original label (FR): Nombre de pièces,2022,"h06_v2 (2012–2012), h06_v3 (2002–2002)",,
h07,main material used for the floor,int8,"1=Earth, 2=Dung hardened, 3=Concrete, 4=Stones, 5=Burnt bricks, 6=Wooden floor …",10,private households (repeated on every member),0,0,1313015,2002 original label (FR): Eau,2022,"h07_v2 (2012–2012), h07_v3 (2002–2002)",,
h08,Number of rooms,int8,,0,private households (repeated on every member),0,0,1313015,2002 original label (FR): Eclairage,2022,"h08_v2 (2012–2012), h08_v3 (2002–2002)",,
h09,number of rooms are used for sleeping,int8,,0,private households (repeated on every member),0,0,1313015,2002 original label (FR): Cuisson,2022,"h09_v2 (2012–2012), h09_v3 (2002–2002)",,
h10,Are Sleeping rooms  for Boys separated from those for Girls,int8,"1=Yes, 2=No, 3=Not Applicable",3,private households (repeated on every member),0,0,1313015,2002 original label (FR): Toilette,2022,"h10_v2 (2012–2012), h10_v3 (2002–2002)",,
h11,Main source of water used for general purposes,int8,"1=Internal pipe-born water, 2=Pipe-born water in the compound, 3=Pipe-born water from the neighbor HH, 4=Public tap out of the compound, 5=Tube Well /Borehole, 6=Protected Spring/Well …",12,private households (repeated on every member),0,0,1313015,2002 original label (FR): Déchets,2022,"h11_v2 (2012–2012), h11_v3 (2002–2002)",,
h12,Main source of drinking water,int8,"1=Internal pipe-born water, 2=Pipe-born water in the compound, 3=Pipe-born water from the neigbour HH, 4=Public tap out of the compound, 5=Tube Well /Borehole, 6=Protected Spring/Well …",13,private households (repeated on every member),0,0,1313015,2002 original label (FR): Titre de l'habitat,2022,"h12_v2 (2012–2012), h12_v3 (2002–2002)",,
h13,Toilet Facility,int8,"1=Flush toilet used by one Houesehold, 2=Flush toilet used by several Houeseholds, 3=Pit Latrine with constructed floor slab used by one HH, 4=Pit Latrine with constructed floor slab used by several HH, 5=Pit Latrine without constructed floor slab used by one HHs, 6=Pit Latrine without constructed floor slab used by several HHs …",8,private households (repeated on every member),0,0,1313015,2002 original label (FR): Radio et télévision,2022,"h13_v2 (2012–2012), h13_v3 (2002–2002)",,
h14,Electricity (Grid line) connectivity,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1313015,2002 original label (FR): Téléphone,2022,"h14_v2 (2012–2012), h14_v3 (2002–2002)",,
h15,Main source of energy for lighting,int8,"1=Electricity from REG, 2=Private Hydro Mini grid, 3=Standalone solar system, 4=Private Solar Mini Grid, 5=Generator, 6=Kerosene / Paraffin lamp …",14,private households (repeated on every member),0,0,1313015,2002 original label (FR): Ordinateur et Internet,2022,"h15_v2 (2012–2012), h15_v3 (2002–2002)",,
h16,Main source of energy for cooking,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Electricity, 5=Kerosene/Parafine, 6=Biogas …",16,private households (repeated on every member),0,0,1313015,,2022,h16_v2 (2012–2012),,
h17,Secondary source of energy for cooking,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Electricity, 5=Kerosene/Parafine, 6=Biogas …",15,private households (repeated on every member),0,0,1305859,2002 original label (FR): H17,2022,"h17_v2 (2012–2012), h17_v3 (2002–2002)",,
h18,Does your HH use a cooking energy saving stove?,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1304810,2002 original label (FR): H18,2022,"h18_v2 (2012–2012), h18_v3 (2002–2002)",,
