variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
h22b1_03,Number of Cross breed cows reared,int16,,0,private households (repeated on every member),0,0,37289,,,,,
h22b1_04,Number of Local goats reared,int16,,0,private households (repeated on every member),0,0,60624,,,,,
h22b1_05,Number of Exotic goats reared,int8,,0,private households (repeated on every member),0,0,1815,,,,,
h22b1_06,Number of Cross goats reared,int16,,0,private households (repeated on every member),0,0,2368,,,,,
h22b1_07,Number of Local sheep reared,int8,,0,private households (repeated on every member),0,0,13527,,,,,
h22b1_08,Number of Exotic sheep reared,int8,,0,private households (repeated on every member),0,0,2142,,,,,
h22b1_09,Number of Local pigs reared,int16,,0,private households (repeated on every member),0,0,42575,,,,,
h22b1_10,Number of Exotic pig reared,int16,,0,private households (repeated on every member),0,0,2697,,,,,
h22b1_11,Number of Cross pig reared,int8,,0,private households (repeated on every member),0,0,4666,,,,,
h22b1_12,Number of Rabbits reared,int16,,0,private households (repeated on every member),0,0,9425,,,,,
h22b1_13,Number of Broiler chicken reared,int16,,0,private households (repeated on every member),0,0,4176,,,,,
h22b1_14,Number of Layers chicken reared,int16,,0,private households (repeated on every member),0,0,10762,,,,,
h22b1_15,Number of Dual purpose chicken reared,int16,,0,private households (repeated on every member),0,0,6797,,,,,
h22b1_16,Number of Local chicken reared,int16,,0,private households (repeated on every member),0,0,20326,,,,,
h22b1_17,Number of Duck reared,int8,,0,private households (repeated on every member),0,0,2313,,,,,
h22b1_18,Number of Turkey reared,int8,,0,private households (repeated on every member),0,0,581,,,,,
h22b1_19,Number of Other poultry reared,int8,,0,private households (repeated on every member),0,0,62,,,,,
h22b1_20,Number of Camel reared,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h22b1_21,Number of Bees hive reared,int16,,0,private households (repeated on every member),0,0,1783,,,,,
h22b1_22,Number of Dogs reared,int8,,0,private households (repeated on every member),0,0,4751,,,,,
h22b1_23,Number of Other reared,int8,,0,private households (repeated on every member),0,0,1245,,,,,
h22b2_01,Location(District) where is Local breed cows reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,51122,,,,,
h22b2_02,Location(District) where is Exotic breed cows reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,5374,,,,,
h22b2_03,Location(District) where is Cross breed cows reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,37289,,,,,
h22b2_04,Location(District) where is Local goats reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,60624,,,,,
h22b2_05,Location(District) where is Exotic goats reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,1815,,,,,
h22b2_06,Location(District) where is Cross goats reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,2368,,,,,
h22b2_07,Location(District) where is Local sheep reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,13527,,,,,
h22b2_08,Location(District) where is Exotic sheep reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,2142,,,,,
h22b2_09,Location(District) where is Local pigs reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,42575,,,,,
h22b2_10,Location(District) where is Exotic pig reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,2697,,,,,
h22b2_11,Location(District) where is Cross pig reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,4666,,,,,
h22b2_12,Location(District) where is Rabbits reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,9425,,,,,
h22b2_13,Location(District) where is Broiler chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,4176,,,,,
h22b2_14,Location(District) where is Layers chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,10762,,,,,
h22b2_15,Location(District) where is Dual purpose chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,6797,,,,,
h22b2_16,Location(District) where is Local chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,20326,,,,,
h22b2_17,Location(District) where is Duck reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,2313,,,,,
h22b2_18,Location(District) where is Turkey reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,581,,,,,
h22b2_19,Location(District) where is Other poultry reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,62,,,,,
h22b2_20,Location(District) where is Camel reared,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h22b2_21,Location(District) where is Bees hive reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,1783,,,,,
h22b2_22,Location(District) where is Dogs reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,4751,,,,,
h22b2_23,Location(District) where is Other reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,1245,,,,,
h23,Household grew crops in last 12 months,int8,"1=Yes, 2=No, 9=Not stated",3,private households (repeated on every member),0,0,331917,,2022,h23_v2 (2012–2012),,
h23a,Place where the agricultural activities is done,int8,"1=In household owned land, 2=In rentedland (in cash or in kind payment or for free), 3=In both households owned land and in rented land",3,private households (repeated on every member),0,0,207694,,,,,
h24_01,Maize grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_02,Rice grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_03,Sorghum grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_04,Wheat grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_05,Bean grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_06,Pea grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_07,Groundnut grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_08,Soybean grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_09,Cassava grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_10,Sweet potato grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_11,Irish potato grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_12,Yams& Taro grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_13,Cooking Banana grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_14,Dessert Banana grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_15,Banana for Beer grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_16,Vegetables grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_17,Tea grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_18,Coffee grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_19,Sugarcane grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_20,Pyrethrum grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_21,Flowers grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h24_22,Other crop type grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,207694,,,,,
h25_01,Amaranths grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_02,Tomato grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_03,Cabbage grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_04,Onion grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_05,Carrot grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_06,Eggplant grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_07,Black eggplant grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_08,Sweet pepper grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_09,Pepper grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_10,Cauliflower grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_11,French beans grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_12,Beetroot grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_13,Garlic grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_14,Lettuce grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_15,Broccoli grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_16,Spinach grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_17,Celery grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_18,Leeks grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_19,Pumpkin grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_20,Cocumber grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_21,Mushroom grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_22,Chayote grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_23,Cassava Leaves grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h25_24,Other vegetables grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,31290,,,,,
h26,Number of tea trees grown,int32,,0,private households (repeated on every member),0,0,1752,,2022,h26_v2 (2012–2012),,
h27,Number of coffee trees grown,int32,,0,private households (repeated on every member),0,0,13537,,2022,h27_v2 (2012–2012),,
h28a,Any fruit tree,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,2022,h28a_v2 (2012–2012),,
h28b1_01,Grow Avocado,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_02,Grow Orange,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_03,Grow Papaya,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_04,Grow Guava,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_05,Grow Lemon,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_06,Grow Mango,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_07,Grow Mandarin,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_08,Grow Jack fruits,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_09,Grow Beefheart,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_10,Grow Passion fruits,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_11,Grow Pineapple,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_12,Grow Tree tomato,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_13,Grow Watermelon,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_14,Grow Strawberry,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b1_15,Grow Other fruit,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,161733,,,,,
h28b2_01,Number of Avocado,int16,,0,private households (repeated on every member),0,0,128679,,,,,
h28b2_02,Number of Orange,int16,,0,private households (repeated on every member),0,0,8113,,,,,
h28b2_03,Number of Papaya,int16,,0,private households (repeated on every member),0,0,35267,,,,,
h28b2_04,Number of Guava,int16,,0,private households (repeated on every member),0,0,22237,,,,,
h28b2_05,Number of Lemon,int16,,0,private households (repeated on every member),0,0,12483,,,,,
h28b2_06,Number of Mango,int16,,0,private households (repeated on every member),0,0,53909,,,,,
h28b2_07,Number of Mandarin,int16,,0,private households (repeated on every member),0,0,1447,,,,,
h28b2_08,Number of Jack fruits,int16,,0,private households (repeated on every member),0,0,7244,,,,,
h28b2_09,Number of Beefheart,int8,,0,private households (repeated on every member),0,0,587,,,,,
h28b2_10,Number of Passion fruits,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h28b2_11,Number of Pineapple,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h28b2_12,Number of Tree tomato,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h28b2_13,Number of Watermelon,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h28b2_14,Number of Strawberry,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
h28b2_15,Number of Other fruit,string,,0,private households (repeated on every member),175737,242461,331917,,,,,
