variable,label,type,value_labels,n_value_labels,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
d02,What do you think could be the minimum level of education to carry out the job (,int8,"1=None, 2=Pre-primary education, 3=Primary education, 4= Vocational training, 5= Lower secondary education, 6= Upper secondary education …",7,21394,22033,23550,0,0,0,0,0,0,,,,,"{""4"": [""\u00a0Vocational training"", ""\u00c2\u00a0Vocational training""], ""5"": [""\u00a0Lower secondary education"", ""\u00c2\u00a0Lower secondary education""]}"
indd03, ISIC High level,int8,"1=Agriculture_forestry_and_fishing, 2=Mining_and_quarrying, 3=Manufacturing, 4=Electricity_gas_stream_and_air_conditioning_supply, 5=Water_supply,_gas_and_remediation_services, 6=Construction …",21,21394,22033,23351,20440,19142,19947,22214,33594,34712,,,,,"{""20"": [""Activities of house13holds as employers"", ""Activities_of_house13holds_as_employers"", ""Ativities of house13holds as employers"", ""activities of households as employers""], ""1"": [""Agriculture forestry and fishing"", ""Agriculture_forestry_and_fishing"", ""agriculture forestry and fishing""], ""2"": [""Mining and quarrying"", ""Mining_and_quarrying"", ""mining and quarrying""], ""4"": [""Electricity gas stream and air conditioning supply"", ""Electricity_gas_stream_and_air_conditioning_supply"", ""electricity gas stream and air conditioning supply""], ""5"": [""Water supply, gas and remediation services"", ""Water_supply,_gas_and_remediation_services"", ""water supply, gas and remediation services""], ""7"": [""Whole sale and retail trade; repair of motor vehicles and motorcycles"", ""Whole_sale_and_retail_trade;_repair_of_motor_vehicles_and_motorcycles"", ""whole sale and retail trade; repair of motor vehicles and motorcycles""], ""8"": [""Transportationa and storage"", ""Transportationa_and_storage"", ""transportationa and storage""], ""9"": [""Accommodation and food services activities"", ""Accommodation_and_food_services_activities"", ""accommodation and food service activities""], ""10"": [""Information and communication"", ""Information_and_communication"", ""information and communication""], ""11"": [""Financial and insurance activities"", ""Financial_and_insurance_activities"", ""financial and insurance activities""], ""12"": [""Real estate activities"", ""Real_estate_activities"", ""real estate activities""], ""13"": [""Professional, scientific and technical activities"", ""Professional,_scientific_and_technical_activities"", ""professional, scientific and technical activities""], ""14"": [""Administrative and support activities"", ""Administrative_and_support_activities"", ""administrative and support activities""], ""15"": [""Public administration and defense; compulsory social security"", ""Public_administration_and_defense;_compulsory_social_security"", ""public administration and defense; compulsory social security""], ""17"": [""Human health and social work activities"", ""Human_health_and_social_work_activities"", ""human health and social work activities""], ""18"": [""Arts, entertainment and recreation"", ""Arts,_entertainment_and_recreation"", ""arts, entertainment and recreation""], ""19"": [""Other services"", ""Other_services"", ""other services""], ""21"": [""Activities of extraterritorial organizations and bodies"", ""Activities_of_extraterritorial_organizations_and_bodies"", ""activities of extraterritorial organizations and bodies""]}"
isic2d,Isic_2digits_mainjob,int8,"1=Crop and animal production, hunting and related service activities, 2=Forestry and logging, 3= Fishing and aquaculture, 5=Mining of coal and lignite, 6=Extraction of crude petroleum and natural gas, 7=Mining of metal ores …",89,21394,22033,0,0,0,0,0,0,0,,,,,
d04,Does (Name) work in....,int8,"1=Public  institution/enterprise, 2=Mixed public and private enterprise, 3=Private, 4=International NGO/International organisation, 5=Local NGO/Religious organisation, 6=Cooperative …",9,21394,22045,23550,0,19142,19947,22214,33594,34712,,,,,"{""3"": [""Private"", ""Private/VUP""], ""8"": [""Other"", ""Others(Specify)"", ""VUP/Community based jobs""]}"
d05,"In this job, is  [NAME] working as??",int8,"1=Employee, 2=Paid apprentice/Intern, 3=Employer (with regular employees), 4=Own account worker( without regular employees), 5=Member of cooperative, 6=Contributing family worker …",7,21394,22033,23550,20440,19142,19947,22214,33166,0,,"2017,2018,2019,2020,2021,2022,2023,2024",d05_v2 (2025–2025),,
d06,(Do/does)(You/Name) have a written contract or oral agreement for the work (You/,int8,"1=Yes,Written contract, 2=Yes,Oral agreement",2,14880,15154,15877,0,13731,14022,14714,22170,22465,,,,2017: Have [NAME] been employed on the basis of:; 2018: Have [NAME] been employed on the basis of:; 2019: Have [NAME] been employed on the basis of:; 2021: Have [NAME] been employed on the basis of:; 2022: Have [NAME] been employed on the basis of:; 2023: Have [NAME] been employed on the basis of:; 2024: Have [NAME] been employed on the basis of:,"{""1"": [""Written contract"", ""Yes,Written contract""], ""2"": [""Oral agreement"", ""Yes,Oral agreement""]}"
d07,Is [NAME]'s contract or agreement :,int8,"1=Permanent (without a known limited duration), 2=Temporary  with a specific period of time, 3=Valid until date a task is completed, 4=Ongoing,until further notice",4,14880,15153,15877,0,13731,14022,14714,22170,22465,,,,,"{""2"": [""Temporary  with a specific period of time"", ""Temporary contract:""]}"
d08,The duration of the contract or agreement?,int8,"1=Daily contract/Agreement, 2=Less than one month, 3=One to less than 3 months, 4=3 to less than 6 months, 5=6 to less than 12 months, 6=12 to less than 24 months …",7,9880,9764,9740,0,10440,10520,10382,16481,16027,,,,,"{""1"": [""Daily contract/Agreement"", ""Day""], ""2"": [""Less than one month"", ""Week""], ""3"": [""Month"", ""One to less than 3 months""], ""4"": [""3 to less than 6 months"", ""Less than one year""], ""5"": [""6 to less than 12 months"", ""One year or more""], ""6"": [""12 to less than 24 months"", ""Permenant""]}"
d09a,Does employer pay contributions on [NAME]?s behalf to social security fund(RSSB),int8,"1=Yes, 2=No, 3=Don't Know",3,14880,15153,15877,0,13731,14022,14714,22170,22465,,,,2017: Does employer pay contributions on [NAME]?s behalf to social; 2018: Does employer pay contributions on [NAME]?s behalf to social; 2019: Does employer pay contributions on [NAME]?s behalf to social; 2021: Does employer pay contributions on [NAME]?s behalf to social; 2022: Does employer pay contributions on [NAME]?s behalf to social; 2023: Does employer pay contributions on [NAME]?s behalf to social; 2024: Does employer pay contributions on [NAME]?s behalf to social,
d09b,Does employer pay contributions on [NAME]?s behalf to health insurance fund,int8,"1=Yes, 2=No, 3=Don't Know",3,14880,15153,15877,0,13731,14022,14714,0,0,,,,,
d10a,Is (Name) entitled to paid annual leave benefits from employer?,int8,"1=Yes, 2=No, 3=Don't Know",3,14880,15153,15877,0,13731,14022,14714,22170,22465,,,,2017: Benefits paid for annual leave; 2018: Benefits paid for annual leave; 2019: Benefits paid for annual leave; 2021: Benefits paid for annual leave; 2022: Benefits paid for annual leave; 2023: Benefits paid for annual leave; 2024: Benefits paid for annual leave,
d10b,Is (name) entitled to paid sick leave benefits from employer?,int8,"1=Yes, 2=No, 3=Don't Know",3,14880,15153,15877,0,13731,14022,14714,22170,22465,,,,2017: Benefits  paid for sick leave; 2018: Benefits  paid for sick leave; 2019: Benefits  paid for sick leave; 2021: Benefits  paid for sick leave; 2022: Benefits  paid for sick leave; 2023: Benefits  paid for sick leave; 2024: Benefits  paid for sick leave,
d10c,Is (name) entitled to maternity/paternity leave?,int8,"1=Yes, 2=No, 3=Don't Know",3,14880,15153,15877,0,13731,14022,14714,22170,22465,,,,2017: Benefits  paid for maternity/paternity leave; 2018: Benefits  paid for maternity/paternity leave; 2019: Benefits  paid for maternity/paternity leave; 2021: Benefits  paid for maternity/paternity leave; 2022: Benefits  paid for maternity/paternity leave; 2023: Benefits  paid for maternity/paternity leave; 2024: Benefits  paid for maternity/paternity leave,
d10d,Is (Name)'s salary subjected to deduction of taxe (PAYE),int8,"1=Yes, 2= No, 3=Don't Know, 9=Missing",4,14880,15153,15877,0,13731,14022,14714,22170,22465,,,,,
d11,Does [NAME] belong to any trade union or syndicate,int8,"1=Yes, 2=No, 3=Don't Know",3,14880,15153,15877,0,13731,14022,14714,0,0,,,,,
d12,"How much did he/she  earn at main job last time in cash and in kind, before taxe",int8,"1=Amount(Rwf), 2=Refusal, 3=Don't Know, 4=Not paid because of covid-19",4,14880,0,0,0,13731,14022,14714,22170,0,,,,,
d12a,Amount in Rwandan francs,int32,,0,13624,0,0,0,12844,13154,13728,0,0,,,,,
d13,How long did it cover?,int8,"1=Month, 2=Two weeks, 3=One week, 4=One day, 5=Other(specify)",5,13624,0,0,0,12843,13154,13728,0,0,,,,,"{""5"": [""One year"", ""Other(specify)""]}"
d14,"Does [NAME] receive in-kind payments in main job such as food, agricultural prod",int8,"1=Yes, 2=No",2,13624,0,0,0,12854,13154,13730,0,0,,,,,
d15,What is the value of these in-kind payments?,int8,"1=Amount in Rwf, 2=Refusal, 3=Don't Know",3,650,0,0,0,319,201,311,0,0,,,,,
d15a,Amount in Rwandan francs,int32,,0,603,0,0,0,305,189,281,0,0,,,,,
d16,What period did it cover?,int8,"1=Month, 2=Two weeks, 3=One week, 4=One day, 5=Other(specify)",5,603,0,0,0,305,189,281,0,0,,,,,"{""5"": [""Other(specify)"", ""Year""]}"
d17,"Taking into account both cash and in kind payments,Would you say the monthly amo",int8,"1=Less thanÂ 20,000 RWF, 2=20,000 ? 29,999 RWF, 3=30,000 ? 49,999 RWF, 4=50,000 ? 99,999 RWF, 5=100,000 RWF and above, 6=Refusal …",7,1291,0,0,0,877,869,1004,0,0,,,,,"{""1"": [""Less than\u00a020,000 RWF"", ""Less than\u00c2\u00a020,000 RWF""]}"
d18a_v2,[2017-2017 version] What is the net monthly earnings of (NAME) from his/her busi,int8,"1=Enter Amount, 2=Refusal, 3=Don't Know",3,5680,0,0,0,0,0,0,0,0,,2017,d18a (2025–2025),,
d18a1,What is the net monthly earnings of (NAME) from his/her business Activity?(Amoun,int32,,0,4136,0,0,0,0,0,0,0,0,,,,,
d18b,What is the net monthly earnings of (NAME) from his/her business or activity?,int8,"1=Less thanÂ 20,000 RWF, 2=20,000 ? 29,999 RWF, 3=30,000 ? 49,999 RWF, 4=50,000 ? 99,999 RWF, 5=100,000 RWF and above, 6=Refusal …",7,1544,0,0,0,0,0,0,0,0,,,,,
d19,"Was this below average, above average, or average of monthly earnings during las",int8,"1=Below average, 2=Average, 3=Above average",3,5463,0,0,0,0,0,0,0,0,,,,,
d20,Is the business/establishment where [NAME] works registered with the RRA or  pay,int8,"1=Yes, 2=No, 3=Don't Know",3,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,,
d21,"In order to report to an authority, does the business/establishment where (NAME)",int8,"1=Yes, 2=No, 3=Don't Know",3,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,,
d22a,"How many regular paid or unpaid employees including [NAME], work at [NAME]'s  pl",int8,,0,21394,22033,23550,0,0,0,0,0,0,,,,,
d22b,"How many regular paid or unpaid employees including [NAME], work at [NAME]'s  pl",int8,"1=10 -30 workes, 2=31-50 workers, 3=51-100 workers, 4=101 workers or more",4,4865,5190,5915,0,0,0,0,0,0,,,,,
d23,Where is the business where [NAME] work located?,int8,"1=At  my own home, 2=Structure attached to the home, 3=At the client/employer's home, 4=At an office, shop factory, or other fixed place of work, 5=Fixed stall in market, 6=Non-fixed stall/stand in market …",13,21394,22035,23550,0,19142,19947,22214,33594,34712,,,,2017: In what type of place does [NAME] usually work?; 2018: In what type of place does [NAME] usually work?; 2019: In what type of place does [NAME] usually work?; 2021: In what type of place does [NAME] usually work?; 2022: In what type of place does [NAME] usually work?; 2023: In what type of place does [NAME] usually work?; 2024: In what type of place does [NAME] usually work?,"{""1"": [""At  my own home"", ""At home""], ""7"": [""Street"", ""Street or another public space without a fixed structure""], ""8"": ["" Land, forest, sea, mining site."", ""Land, forest, mining site.""], ""11"": [""In/on a vehicle (without daily work base)"", ""Other (specify):""]}"
d24,How long have [NAME] been working (total experience)-Years?,int8,"1= Less than 3 months, 2=3-less than 6 months, 3=6-less than12 months, 4=1 year -Â Less than 2years, 5=2 years -Â Less than 5years, 6=5 years or  more",6,10926,0,0,0,0,0,0,33594,34712,,,,2017: How long have [NAME] been working (total experience)?; 2019: How long have [NAME] been working (total experience)?; 2020: How long have [NAME] been working (total experience)?; 2024: How long have [NAME] been working (total experience)?,"{""4"": [""1 year -\u00a0Less than 2years"", ""1 year -\u00c2\u00a0Less than 2years""], ""5"": [""2 years -\u00a0Less than 5years"", ""2 years -\u00c2\u00a0Less than 5years""]}"
d25,In day to day work does [NAME] need the computer to perform his/her duties?,int8,"1=Yes, 2=No",2,21394,22033,23550,0,0,0,0,0,0,,,,,
d26,Does (name) use computer in his/her day to day work?,int8,"1=Yes, 2=No",2,2621,2723,3001,0,0,0,0,0,0,,,,,
inde01, ISCO High level_secondary,int8,"1=Managers, 2= Professionals, 3=Technicians and associate professionals, 4=Clerical support workers, 5=Service and sales workers, 6=Skilled agricultural, forestry and fishery workers …",9,599,510,0,0,0,0,0,0,0,,,,,
isco2e,Isco_2digits_secondjob,int8,"1=Commissioned armed forces officers, 2=Non-commissioned armed forces officers, 3=Armed forces occupations, other ranks, 11=Chief executives, senior officials and legislators, 12=Administrative and commercial managers, 13=Production and specialised services managers …",43,599,510,0,0,0,0,0,0,0,,,,,
inde02, ISIC High level_secondary,int8,"1=agriculture forestry and fishing, 2=mining and quarrying, 3=manufacturing, 4=electricity gas stream and air conditioning supply, 5=water supply, gas and remediation services, 6=construction …",21,599,510,0,0,229,246,358,0,0,,,,,"{""20"": [""activities of house13holds as employers"", ""activities of households as employers""]}"
isic2e,Isic_2digits_secondjob,int8,"1=Crop and animal production, hunting and related service activities, 2=Forestry and logging, 3= Fishing and aquaculture, 5=Mining of coal and lignite, 6=Extraction of crude petroleum and natural gas, 7=Mining of metal ores …",89,599,510,0,0,0,0,0,0,0,,,,,
e03,"In his/her secondary job/activity, does (NAME) work in ??",int8,"1=Public  institution/enterprise, 2=Mixed public and private enterprise, 3=Private, 4=International NGO/International organisation, 5=Local NGO/Religious organisation, 6=Cooperative …",8,599,510,530,0,0,0,0,0,0,,,,,
e04,"In his/her secondary job/business, does (NAME) work as ??",int8,"1=Employee, 2=Paid apprentice/Intern, 3=Employer (with regular employees), 4=Own account worker(without regular employees), 5=Member of cooperative, 6=Contributing family worker …",7,599,510,530,0,0,0,0,0,0,,,,,
e05a,Does the employer pay contributions on (Name)'s behalf to social security fund?,int8,"1=Yes, 2=No, 3=Don't Know",3,244,228,209,0,0,0,0,0,0,,,,,
e05b,Does the employer pay contributions on (Name)'sbehalf  to health insurance?,int8,"1=Yes, 2=No, 3=DK",3,244,228,209,0,0,0,0,0,0,,,,,
e06a,Is (Name) paid annual leave,int8,"1=Yes, 2=No, 3=Don't Know",3,244,228,209,0,0,0,0,0,0,,,,,
e06b,Is (Name) paid sick leave.,int8,"1=Yes, 2=No, 3=Don't Know",3,244,228,209,0,0,0,0,0,0,,,,,
e06c,Is (NAME)Paid maternity/paternity leave?,int8,"1=Yes, 2=No, 3=Don't Know",3,244,228,209,0,0,0,0,0,0,,,,,
e07,Is the business/establishment where (Name) works for registered with the RRA or,int8,"1=Yes, 2=No, 3=Don't Know",3,562,491,507,0,0,0,0,0,0,,,,,
e08,Does [NAME]'s employer keep any written records or accounts?,int8,"1=Yes, 2=No, 3=Don't Know",3,562,491,507,0,0,0,0,0,0,,,,,
e09a,Including (Name) how many regular paid or unpaid employees(less than 10),int8,,0,562,491,506,0,0,0,0,0,0,,,,,
e09b,Including (Name) how many regular paid or unpaid employees(More than 10),int8,"1=10-30 workers, 2=31- 50 workers, 3=51-100 workers, 4=100 workers or more",4,69,50,61,0,0,0,0,0,0,,,,,
e10,In what type of place does (Name) usually work?,int8,"1=At home, 2=Structure attached to the home, 3=At the client/employer's home, 4=At an office, shop factory, or other fixed place of work, 5=Fixed stall in market, 6=Non-fixed stall/stand in market …",11,599,510,530,0,0,0,0,0,0,,,,,
e11,Apart from the main job:how many Job did(Name) had in the last 7 days?,int8,,0,599,510,529,0,229,246,358,0,0,,,,,
e12,How much did (Name) earn from other jobs or activities had last week in cash?,int8,"1=Enter Amount FRW, 2=Refusal, 3=Don't Know, 4=No Earnings ,contributing family worker",4,599,0,0,0,229,246,358,0,0,,,,,
e12b,Amount in Rwandan francs,int32,,0,514,0,0,0,211,214,299,0,0,,,,,
e13,How long did it cover?,int8,"1=Month, 2=Two weeks, 3=One week, 4=one day, 5=Year",5,513,0,0,0,211,214,298,0,0,,,,,
indf03, ISCO High level_past,int8,"1=Managers, 2= Professionals, 3=Technicians and associate professionals, 4=Clerical support workers, 5=Service and sales workers, 6=Skilled agricultural, forestry and fishery workers …",9,10241,10356,0,0,0,0,0,0,0,,,,,
isco2f,Isco_2digits_pastjob,int8,"1=Commissioned armed forces officers, 2=Non-commissioned armed forces officers, 3=Armed forces occupations, other ranks, 11=Chief executives, senior officials and legislators, 12=Administrative and commercial managers, 13=Production and specialised services managers …",43,10241,10356,0,0,0,0,0,0,0,,,,,
indf04, ISIC High level_past,int16,"1=agriculture forestry and fishing, 2=mining and quarrying, 3=manufacturing, 4=electricity gas stream and air conditioning supply, 5=water supply, gas and remediation services, 6=construction …",22,10277,10354,0,0,0,0,0,0,0,,,,,
isic2f,Isic_2digits_pastjob,int16,"1=Crop and animal production, hunting and related service activities, 2=Forestry and logging, 3= Fishing and aquaculture, 5=Mining of coal and lignite, 6=Extraction of crude petroleum and natural gas, 7=Mining of metal ores …",89,10277,10357,0,0,0,0,0,0,0,,,,,
f01,"Has [NAME]ever worked previously for a wage, salary or for other income in cash",int8,"1=Yes, 2=No",2,27725,26903,29000,0,24187,23087,24487,0,0,,,,,
f02,The main reason to stop working in his/her last paid job / business?,int8,"1=Dismissal or staff reduction., 2=Breakup of the enterprise, bankruptcy, 3=Place of work closed down, 4=Retirement, 5=Illness, injury or disability, 6=Beginning of studies or preparing for studies …",15,10241,10357,11998,0,9593,8773,8968,14871,15303,,,,,"{""12"": [""Other(specify)"", ""Physical/ social harassment""]}"
f05,What is (Name) main source of income at present?,int8,"1=Parents, 2=Husband/Wife, 3= Child, 4=Other family members, 5=Pension, 6=Own production …",14,27724,26903,29001,0,27430,25827,24445,32711,31009,,,,,
f06,"In your opinion, which of the following best describes your main status at prese",int8,"1=Unemployed, 2=Performing a job such as unpaid work in a family  business or apprenticeship or, 3=Pupil, student, post graduate, 4=Retirement or early retirement or given up business activity, 5=Permanently unable to work due to longstanding  health problems, 6=Compulsory civic services …",9,27724,26903,0,0,0,0,0,0,0,,,,,"{""2"": [""Performing a job such as unpaid work in a family  business or apprenticeship or"", ""Performing a job such as unpaid work in a family  business or apprenticeship or Traineeship""], ""6"": [""Compulsory civic services"", ""In compulsory military or civilian service""], ""8"": [""Finish school,waiting for results"", ""Other status, specify""]}"
f07,What Competencies do you need to increase your employment opportunities?,int8,"1=Technical skills, 2=Soft Skills, 3=Industrial attachment (practical skills), 4=Other (Please specify), 5=None, 9=Not stated",6,10529,9730,21827,0,0,0,0,0,0,,,,,"{""4"": [""None"", ""Other (Please specify)""], ""5"": [""None"", ""Other (Please specify)""]}"
gid,Serian Number for Section G,int8,,0,39051,0,0,0,0,0,0,0,0,,,,,
g01,"In the last 7 days, how many  hours did [NAME] spend collecting firewood for the",int8,,0,47335,47073,50669,0,23242,37344,45581,23755,23805,,,,,
g02,"In the last 7 days, how many hours did [NAME] spend fetching water for the house",int8,,0,47334,47073,50655,0,26972,38480,45581,32156,31712,,,,,
g03,"In the last 7 days, how many hours did [NAME] spend searching for  fodder or gra",int8,,0,47334,47073,50656,0,19464,36308,45581,22104,24809,,,,,
g04,"In the last 7 days, how many hours did [NAME] spend manufacturing household good",int8,,0,47334,47073,50656,0,11502,33585,45581,1134,1434,,,,"2019: In the last 7 days, how many hours did [NAME] spend construc",
g05,"In the last 7 days, how many hours did [NAME] spend constructing your dwelling,",int8,,0,47334,47073,50656,0,11868,33718,45581,2624,3637,,,,"2019: In the last 7 days, how many hours did [NAME] spend manufact",
g06,"In the last 7 days, how many hours did [NAME] spend doing household chores inclu",int8,,0,47334,47073,50656,0,32504,40258,45581,41541,41382,,,,,
g07,"In the last 7 days, how many hours did [NAME] spend looking after children and e",int8,,0,47334,47073,50656,0,20877,36581,45581,22616,24155,,,,,
h01,During the last four weeks did he/she do any of the following  work mainly for o,int8,"1=Yes, 2=No",2,49121,48937,52550,0,46562,45773,46697,66303,65721,,,,,
h02,How many days per week has [NAME] usualy worked in these activities?,int8,,0,20223,19063,19306,0,14630,14430,14675,28181,29676,,,,2017: How many days per week did [NAME] usually worked in these ac; 2018: How many days per week did [NAME] usually worked in these ac; 2019: How many days per week did [NAME] usually worked in these ac; 2021: How many hours per week has [NAME]  worked in these activiti; 2022: How many days per week did [NAME] usually worked in these ac; 2023: How many days per week did [NAME] usually worked in these ac; 2024: How many days per week did [NAME] usually worked in these ac,
h03,How many hours per week does [NAME] usually work in these activities?,int8,,0,20201,19063,19306,0,14630,14430,14675,28181,29676,,,,2017: How many hours per day has [NAME] usually worked in these ac; 2018: How many hours per day has [NAME] usually worked in these ac; 2019: How many hours per day has [NAME] usually worked in these ac; 2022: How many hours per day has [NAME] usually worked in these ac; 2023: How many hours per day has [NAME] usually worked in these ac; 2024: How many hours per day has [NAME] usually worked in these ac,
h04,HAS DONE ANY AGRICULTURAL ACTIVITY ?,int8,"1=Yes, 2=No",2,39051,8936,5231,0,0,70416,17756,0,0,,,,2017: HAS DONE ANY AGRICULTURAL ACTIVITY ?; 2018: HAS DONE ANY AGRICULTURAL ACTIVITY ?; 2019: HAS DONE ANY AGRICULTURAL ACTIVITY ?,
h05,"In general, did the household sell or barter any part of the goods obtained from",int8,"1=No, never sell, 2=Sell excess from  time to time, 3=Yes, regularly",3,49166,47062,48098,0,37397,37448,37837,66990,68736,,,,,
h06,About how much does the household regularly sell?,int8,"1=Â¼ or less, 2=More than Â¼ but  less than half, 3=More than half (>50% )",3,1492,1744,1155,0,914,1318,1510,3118,3651,,,,,"{""1"": [""\u00bc or less"", ""\u00c2\u00bc or less"", ""\u00d1\u02dc or less""], ""2"": [""More than \u00bc but  less than half"", ""More than \u00c2\u00bc but  less than half"", ""More than \u00d1\u02dc but  less than half""]}"
h07,What was the net Value in Frw the household get from agricultural activities dur,int8,"1= 0- 9,999 RWF, 2=10,000 - 39,999, 3=40,000 - 89,999, 4=90,000 - 179,999, 5=180,000 - 239,999, 6=240,000 and above",6,49184,47062,48098,0,0,0,0,0,0,,,,,
h08,Was the previous season below/above average or an average season for your househ,int8,"1=Above average, 2=Average, 3=Below average",3,49169,47062,48098,0,0,0,0,0,0,,,,2017: Compared to  previous season Was the production  below/above; 2018: Compared to  previous season Was the production  below/above,
h09,Do you regularly or sometimes engage paid employee in the farming activity?,int8,"1=Yes regularly, 2=Yes sometimes, 3=No, never",3,49169,47062,48098,0,37560,37448,37837,66990,68736,,,,,
h10,"Excluding family members, how many paid employees do you usually  engage in thes",int8,"1=1 - 3 employees, 2=4 - 5 employees, 3=More than 5",3,15299,17016,16218,0,8799,9084,12522,20653,23160,,,,,
h11a,Did you get access to the land for the agricultural work by leasing (have land t,int8,"1=Yes, 2=No",2,49169,47062,48098,0,0,0,0,0,0,,,,,
h11b,Did you get access to the land for the agricultural work by Renting (share-cropp,int8,"1=Yes, 2=No",2,49169,47062,48098,0,0,0,0,0,0,,,,,
h11c,Did you get access to the land for the agricultural work by renting (fixed rent),int8,"1=Yes, 2=No",2,49169,47062,48098,0,0,0,0,0,0,,,,,
h11d,Did you get access to the land for the agricultural work by renting (free of cha,int8,"1=Yes, 2=No",2,49169,47062,48098,0,0,0,0,0,0,,,,,
h11e,Did you get access to the land for the agricultural work by communal rights/publ,int8,"1=Yes, 2=No",2,49169,47062,48098,0,0,0,0,0,0,,,,,
i01_a,Main material used in building this house for roof,int8,"1=Metal sheets/corrugated iron, 2=Tiles clay, 3=Concrete, 4=Plastic/plywood/impermanent material, 5=Other (specify), 6=Other (specify)",6,77761,0,19323,0,66445,70424,69747,0,0,,,,,"{""4"": [""Bamboo"", ""Plastic/plywood/impermanent material""], ""5"": [""Other (specify)"", ""Plastic/plywood/impermanent material""]}"
i01_b,Main material used in building this house for exterior walls,int8,"1=Mud bricks, 2=Mud bricks with cement (stucco), 3=Oven fire bricks, 4=Cement blocks, 5=Wooden planks, 6=Stones …",10,77761,0,19323,0,66443,70424,69747,0,0,,,,,"{""3"": [""Oven fire bricks"", ""Oven fire brics""], ""8"": [""Tree trunks with cement"", ""Tree trunks with mud and cement""]}"
i01_c,Main material used in building this house for floor,int8,"1=Beaten earth, 2=Dung hardened, 3=Wooden floor, 4=Clay tiles, 5=Cement/pavement, 6=Bricks …",7,77761,0,19323,0,66443,70416,69747,0,0,,,,,"{""5"": [""Cement"", ""Cement/pavement""]}"
i02,How many rooms in your household are used for sleeping?,int8,,0,77761,0,19323,0,66443,70424,69747,0,0,,,,,
i03,What type of toilet does your household have?,int8,"1=Flush toilet, 2=Pit Latrine with constructed floor slab, 3=Pit latrine without constructed, 4=floor slab, 5= No toilet (bush, channeled water,river, etc.), 6=Other (specify)",6,77761,0,19323,0,66443,70424,69747,0,0,,,,,"{""3"": [""Pit latrine without constructed"", ""Pit latrine without constructed floor slab""], ""4"": [""Pit latrine covered by concrete"", ""floor slab""]}"
i04,What is the main source of energy in your household for lighting?,int8,"1=Electricity, 2=Biogas, 3=Generator, 4=Oil lamp/Candle, 5=Firewood, 6=Telephone/Torche …",10,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i05,What is the main source of energy in your household for cooking?,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Biogas, 5=Solar power, 6=Electricity …",11,77761,0,19323,0,66443,70424,69747,0,0,,,,,
i06a,What is the main source of water in your household for drinking?,int8,"1=Piped Into Dwelling., 2=Piped To Yard/Plot, 3=Public Tap/Standpipe., 4=Tube Well Or Borehole, 5=Protected Well, 6=Unprotected Well …",13,77761,0,19323,0,66443,70424,69747,0,0,,,,,"{""11"": [""Bottled Water"", ""Surface Water (River/Lake/Pond/Stream/Irrigation Channel)""], ""12"": [""Bottled water"", ""Surface Water (River/Lake/Pond/Stream/Irrigation Channel)""]}"
i06b,What is the main source of water in your household for other uses?,int8,"1=Piped Into Dwelling., 2=Piped To Yard/Plot, 3=Public Tap/Standpipe., 4=Tube Well Or Borehole, 5=Protected Well, 6=Unprotected Well …",13,77761,0,19323,0,66445,70424,69747,0,0,,,,,"{""11"": [""Bottled Water"", ""Surface Water (River/Lake/Pond/Stream/Irrigation Channel)""], ""12"": [""Bottled Water"", ""Surface Water (River/Lake/Pond/Stream/Irrigation Channel)""]}"
i07a,Does this household own Refrigerator/Freezer?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66443,70424,69747,0,0,,,,,
i07b,Does this household own radio?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07c,Does this household own TV set?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07d,Does this household own parabolic antena?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07e,Does this household own Video/DVD player?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07f,Does this household own Computer and accessories?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07g,Does this household own Music system?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07h,Does this household own Cooker?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07i,Does this household own Sewing machine?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07j,Does this household own Laundry machine?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07k,Does this household own Electric fan?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07l,Does this household own Camera?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07m,Does this household own Mobile phone?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66443,70424,69747,0,0,,,,,
i07n,Does this household own Car ?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
